,value
Rv1905c,MONOMER
Rv2385,MONOMER
Rv0041,MONOMER
Rv2859c,MONOMER
Rv0474,MONOMER
Rv3302c,MONOMER
Rv1001,MONOMER
Rv0901,MONOMER
Rv3768,MONOMER
Rv1447c,MONOMER
Rv1877,MONOMER
Rv2363,MONOMER
Rv0017c,MONOMER
Rv2842c,MONOMER
Rv0456c,MONOMER
Rv3281,MONOMER
Rv0880,MONOMER
Rv3751,MONOMER
Rv1430,MONOMER
Rv2344c,MONOMER
Rv2806,MONOMER
Rv0436c,MONOMER
Rv3261,MONOMER
Rv0861c,MONOMER
Rv3729,MONOMER
Rv1845c,MONOMER
Rv2323c,MONOMER
Rv2785c,MONOMER
Rv0415,MONOMER
Rv3238c,MONOMER
Rv0842,MONOMER
Rv3712,MONOMER
Rv1394c,MONOMER
Rv1826,MONOMER
Rv2305,MONOMER
Rv0398c,MONOMER
Rv2768c,MONOMER
Rv3220c,MONOMER
Rv0822c,MONOMER
Rv3217c,MONOMER
Rv0818,MONOMER
Rv3693,MONOMER
Rv1370c,MONOMER
Rv1804c,MONOMER
Rv2278,MONOMER
Rv0374c,MONOMER
Rv2745c,MONOMER
Rv0799c,MONOMER
Rv3676,MONOMER
Rv1346,MONOMER
Rv1787,MONOMER
Rv2251,MONOMER
Rv0353,MONOMER
Rv2726c,MONOMER
Rv3180c,MONOMER
Rv0780,MONOMER
Rv3646c,MONOMER
Rv1325c,MONOMER
Rv1767,MONOMER
Rv2231c,MONOMER
Rv0335c,MONOMER
Rv2707,MONOMER
Rv3161c,MONOMER
Rv0760c,MONOMER
Rv3625c,MONOMER
Rv1307,MONOMER
Rv1746,MONOMER
Rv2215,MONOMER
Rv0314c,MONOMER
Rv3145,MONOMER
Rv0742,MONOMER
Rv3607c,MONOMER
Rv1290c,MONOMER
Rv1726,MONOMER
Rv2198c,MONOMER
Rv0296c,MONOMER
Rv2665,MONOMER
Rv3127,MONOMER
Rv0723,MONOMER
Rv3590c,MONOMER
Rv1269c,MONOMER
Rv2176,MONOMER
Rv0279c,MONOMER
Rv2640c,MONOMER
Rv3105c,MONOMER
Rv0707,MONOMER
Rv3566c,MONOMER
Rv1252c,MONOMER
Rv1681,MONOMER
Rv2154c,MONOMER
Rv0255c,MONOMER
Rv2616,MONOMER
Rv3087,MONOMER
Rv0686,MONOMER
Rv3539,MONOMER
Rv1233c,MONOMER
Rv1659,MONOMER
Rv2131c,MONOMER
Rv0236A,MONOMER
Rv2600,MONOMER
Rv3064c,MONOMER
Rv0669c,MONOMER
Rv3510c,MONOMER
Rv1215c,MONOMER
Rv1642,MONOMER
Rv2110c,MONOMER
Rv0220,MONOMER
Rv2583c,MONOMER
Rv3046c,MONOMER
Rv0653c,MONOMER
Rv3491,MONOMER
Rv1196,MONOMER
Rv1625c,MONOMER
Rv2088,MONOMER
Rv0200,MONOMER
Rv2560,MONOMER
Rv3030,MONOMER
Rv0634c,MONOMER
Rv3473c,MONOMER
Rv1174c,MONOMER
