Transcription-Units,Genes of transcription unit,Direction
TU27KH-121,B488_RS00900 // B488_RS00895,+
TU27KH-606,B488_RS05035,-
TU27KH-207,B488_RS01665,+
TU27KH-520,B488_RS04300,+
TU27KH-233,B488_RS01870,-
TU27KH-763,B488_RS06310,+
TU27KH-150,B488_RS01160 // B488_RS01155 // B488_RS01150,+
TU27KH-635,B488_RS05230 // B488_RS05225,+
TU27KH-671,B488_RS05580,+
TU27KH-792,B488_RS06690 // B488_RS06685,-
TU27KH-298,B488_RS02420 // B488_RS02415,-
TU27KH-898,B488_RS01970,-
TU27KH-821,B488_RS05670,-
TU27KH-269,B488_RS07085 // B488_RS07080,-
TU27KH-44,B488_RS00315,-
TU27KH-436,B488_RS03600 // B488_RS03595 // B488_RS03590 // B488_RS03585 // B488_RS03580 // B488_RS03575,-
TU27KH-326,B488_RS02680,+
TU27KH-700,B488_RS05815 // B488_RS05810 // B488_RS05805,-
TU27KH-850,B488_RS04335,-
TU27KH-549,B488_RS04570,-
TU27KH-481,B488_RS03985,+
TU27KH-879,B488_RS02755,-
TU27KH-450,B488_RS03720 // B488_RS03715,-
TU27KH-14,B488_RS06755,+
TU27KH-729,B488_RS07115,-
TU27KH-29,B488_RS00200,+
TU27KH-90,B488_RS00650 // B488_RS00645,-
TU27KH-69,B488_RS00495,-
TU27KH-352,B488_RS02890,+
TU27KH-485,B488_RS04010,-
TU27KH-505,B488_RS04185,-
TU27KH-375,B488_RS03060,+
TU27KH-108,B488_RS00800,+
TU27KH-177,B488_RS01430 // B488_RS01425,+
TU27KH-206,B488_RS01660,+
TU27KH-135,B488_RS06975,-
TU27KH-620,B488_RS05135,+
TU27KH-232,B488_RS01865,-
TU27KH-762,B488_RS06305,+
TU27KH-527,B488_RS04340,+
TU27KH-791,B488_RS06680,+
TU27KH-254,B488_RS02115 // B488_RS02110,+
TU27KH-820,B488_RS05675,+
TU27KH-419,B488_RS03410 // B488_RS03405 // B488_RS03400 // B488_RS03395,+
TU27KH-312,B488_RS02560,-
TU27KH-685,B488_RS05690,+
TU27KH-654,B488_RS05405 // B488_RS05400 // B488_RS06940,+
TU27KH-435,B488_RS03570,-
TU27KH-338,B488_RS02800,+
TU27KH-878,B488_RS02760,+
TU27KH-714,B488_RS07050,+
TU27KH-464,B488_RS03870 // B488_RS03865 // B488_RS03860,-
TU27KH-351,B488_RS02870,+
TU27KH-504,B488_RS04180 // B488_RS04175 // B488_RS04170 // B488_RS04165 // B488_RS04160,-
TU27KH-914,B488_RS01275,-
TU27KH-96,B488_RS00695,+
TU27KH-374,B488_RS07090 // B488_RS03055,+
TU27KH-176,B488_RS01420,+
TU27KH-120,B488_RS00890,+
TU27KH-605,B488_RS05030,+
TU27KH-205,B488_RS01655,+
TU27KH-927,B488_RS00705,-
TU27KH-231,B488_RS01860,-
TU27KH-744,B488_RS06175,+
TU27KH-149,B488_RS01145,+
TU27KH-634,B488_RS05220,-
TU27KH-670,B488_RS05565,+
TU27KH-534,B488_RS04385,-
TU27KH-297,B488_RS06805,-
TU27KH-819,B488_RS05715,+
TU27KH-268,B488_RS02195,+
TU27KH-43,B488_RS00310,-
TU27KH-325,B488_RS02675,+
TU27KH-848,B488_RS04420,-
TU27KH-698,B488_RS05795,+
TU27KH-434,B488_RS03565,-
TU27KH-877,B488_RS02765,-
TU27KH-449,B488_RS06865,-
TU27KH-13,B488_RS00100,+
TU27KH-728,B488_RS06060,+
TU27KH-28,B488_RS00195,-
TU27KH-785,B488_RS06595 // B488_RS06590,-
TU27KH-350,B488_RS02865,+
TU27KH-68,B488_RS00490 // B488_RS00485,+
TU27KH-503,B488_RS04155,-
TU27KH-565,B488_RS04700,-
TU27KH-373,B488_RS03050,-
TU27KH-476,B488_RS03955,-
TU27KH-107,B488_RS00795,+
TU27KH-780,B488_RS06550 // B488_RS06545 // B488_RS06540,+
TU27KH-175,B488_RS01410,+
TU27KH-204,B488_RS01650 // B488_RS01645,+
TU27KH-134,B488_RS01030 // B488_RS01025,+
TU27KH-230,B488_RS01855,-
TU27KH-284,B488_RS06795,-
TU27KH-760,B488_RS07055,-
TU27KH-934,B488_RS06760,+
TU27KH-593,B488_RS04940,+
TU27KH-896,B488_RS02185,-
TU27KH-584,B488_RS04860,+
TU27KH-789,B488_RS06665 // B488_RS06660,+
TU27KH-253,B488_RS02105 // B488_RS02100,+
TU27KH-818,B488_RS05820,+
TU27KH-418,B488_RS03390,-
TU27KH-311,B488_RS02555,-
TU27KH-645,B488_RS05325,-
TU27KH-684,B488_RS05685 // B488_RS05680,-
TU27KH-541,B488_RS04465 // B488_RS04460 // B488_RS04455,+
TU27KH-57,B488_RS00410 // B488_RS00405 // B488_RS00400 // B488_RS00395,+
TU27KH-653,B488_RS05390,+
TU27KH-847,B488_RS04825,+
TU27KH-433,B488_RS03560,-
TU27KH-337,B488_RS02795,+
TU27KH-82,B488_RS00600,+
TU27KH-876,B488_RS02770,+
TU27KH-713,B488_RS05945 // B488_RS05940,+
TU27KH-463,B488_RS03855,-
TU27KH-349,B488_RS02860,-
TU27KH-502,B488_RS04140,+
TU27KH-372,B488_RS03045,-
TU27KH-554,B488_RS04615,-
TU27KH-174,B488_RS01405,+
TU27KH-119,B488_RS06970,+
TU27KH-604,B488_RS05025,+
TU27KH-203,B488_RS01640,-
TU27KH-519,B488_RS07105,-
TU27KH-759,B488_RS06285,-
TU27KH-148,B488_RS01135 // B488_RS01130,+
TU27KH-633,B488_RS05215 // B488_RS06925,-
TU27KH-788,B488_RS06655 // B488_RS06650,+
TU27KH-296,B488_RS02405,-
TU27KH-591,B488_RS04930 // B488_RS04925 // B488_RS04920,+
TU27KH-920,B488_RS00980,-
TU27KH-817,B488_RS05825,-
TU27KH-267,B488_RS02190,+
TU27KH-42,B488_RS00305 // B488_RS00300,-
TU27KH-324,B488_RS02670,+
TU27KH-695,B488_RS05765,-
TU27KH-846,B488_RS04870,-
TU27KH-548,B488_RS04565 // B488_RS04560 // B488_RS04555 // B488_RS04550,-
TU27KH-432,B488_RS03555,-
TU27KH-875,B488_RS02875,-
TU27KH-448,B488_RS03705,-
TU27KH-12,B488_RS00095 // B488_RS00090,-
TU27KH-727,B488_RS06055,+
TU27KH-27,B488_RS00190 // B488_RS00185,-
TU27KH-89,B488_RS00640,+
TU27KH-910,B488_RS01485,+
TU27KH-348,B488_RS02855,-
TU27KH-67,B488_RS00480,+
TU27KH-501,B488_RS04135 // B488_RS04130,+
TU27KH-371,B488_RS06840,-
TU27KH-106,B488_RS00790 // B488_RS00785,+
TU27KH-561,B488_RS04655,-
TU27KH-173,B488_RS01400 // B488_RS01395 // B488_RS01390,+
TU27KH-892,B488_RS02225,+
TU27KH-572,B488_RS04765 // B488_RS04760,-
TU27KH-202,B488_RS01635,-
TU27KH-133,B488_RS01020 // B488_RS01015 // B488_RS01010 // B488_RS01005 // B488_RS01000 // B488_RS00995 // B488_RS00990 // B488_RS00985,+
TU27KH-618,B488_RS05115,-
TU27KH-229,B488_RS01850,+
TU27KH-758,B488_RS06280,-
TU27KH-526,B488_RS04330,+
TU27KH-787,B488_RS06645 // B488_RS06640 // B488_RS06635,+
TU27KH-252,B488_RS02095 // B488_RS02090 // B488_RS02085,+
TU27KH-816,B488_RS05845,-
TU27KH-417,B488_RS03385,-
TU27KH-310,B488_RS02550 // B488_RS02545,+
TU27KH-683,B488_RS05660,-
TU27KH-281,B488_RS02300,+
TU27KH-56,B488_RS00385 // B488_RS00380,+
TU27KH-652,B488_RS05380,+
TU27KH-845,B488_RS04875,+
TU27KH-336,B488_RS02790,-
TU27KH-874,B488_RS02880,+
TU27KH-712,B488_RS05935,-
TU27KH-484,B488_RS04005 // B488_RS04000,-
TU27KH-462,B488_RS03850,+
TU27KH-347,B488_RS02850,+
TU27KH-95,B488_RS00690,+
TU27KH-500,B488_RS04125,-
TU27KH-370,B488_RS07005,+
TU27KH-81,B488_RS00595,+
TU27KH-172,B488_RS01385,+
TU27KH-603,B488_RS05020,-
TU27KH-201,B488_RS01630 // B488_RS01625,+
TU27KH-894,B488_RS02205,-
TU27KH-926,B488_RS00755,+
TU27KH-228,B488_RS06785,+
TU27KH-757,B488_RS06275,+
TU27KH-147,B488_RS01125 // B488_RS01120,+
TU27KH-632,B488_RS06920,-
TU27KH-413,B488_RS03355,-
TU27KH-786,B488_RS06625 // B488_RS06620 // B488_RS06615 // B488_RS06610 // B488_RS06605 // B488_RS06600,+
TU27KH-533,B488_RS04380,-
TU27KH-295,B488_RS02400 // B488_RS02395,+
TU27KH-815,B488_RS05865,-
TU27KH-266,B488_RS02175,-
TU27KH-41,B488_RS00295,+
TU27KH-323,B488_RS06995,-
TU27KH-697,B488_RS05790,+
