,query,evalue
CD630_12710,b3148,3.32e-13
CD630_12720,b3765,2.18e-120
CD630_12730,b4473,2.44e-48
CD630_12740,b1274,4.93e-177
CD630_12760,b0892,1.82e-86
CD630_12780,b2531,4.06e-31
CD630_12790,b2530,1.2799999999999999e-126
CD630_12800,b2529,3.75e-44
CD630_12810,b1133,1.49e-88
CD630_12820,b2697,0.0
CD630_12850,b2949,1.92e-23
CD630_12870,b0683,3.3399999999999997e-25
CD630_12910,b0839,6.94e-57
CD630_13000,b4260,8.1e-79
CD630_13030,b1120,2.16e-28
CD630_13060,b3170,7.72e-25
CD630_13070,b3169,5.17e-84
CD630_13090,b3168,0.0
CD630_13140,b3166,4.9899999999999995e-61
CD630_13150,b0025,4.54e-65
CD630_13160,b3165,2.4700000000000002e-33
CD630_13180,b3164,0.0
CD630_13200,b1494,1.16e-16
CD630_13240,b0890,3.38e-132
CD630_13250,b0503,3.3299999999999997e-34
CD630_13260,b0835,3.92e-103
CD630_13270,b1912,5.490000000000001e-35
CD630_13280,b2699,3.53e-163
CD630_13360,b1621,2.91e-165
CD630_13400,b0758,5.8399999999999996e-24
CD630_13410,b1749,9.83e-33
CD630_13430,b3870,8.770000000000001e-21
CD630_13530,b2418,6.49e-16
CD630_13550,b0623,3.39e-26
CD630_13570,b3775,1.11e-22
CD630_13820,b3926,0.0
CD630_13840,b0713,4.2800000000000003e-75
CD630_13860,b0711,6.65e-50
CD630_13870,b0712,1.4200000000000001e-57
CD630_13890,b4478,6.61e-20
CD630_13920,b1809,6.56e-28
CD630_13970,b0195,1.43e-11
CD630_13990,b1192,3.7200000000000004e-26
CD630_14030,b0586,3.2700000000000004e-73
CD630_14050,b4391,2.1899999999999998e-135
CD630_14080,b0092,6.6400000000000005e-65
CD630_14090,b2700,2.7000000000000003e-35
CD630_14130,b3660,7.28e-12
CD630_14140,b3211,1.1699999999999998e-67
CD630_14220,b3292,1.32e-13
CD630_14250,b3508,5.79e-44
CD630_14310,b1808,8.32e-18
CD630_14330,b0605,7.9e-15
CD630_14400,b2142,4.49e-40
CD630_14450,b3360,2.49e-84
CD630_14460,b1812,6.45e-118
CD630_14470,b1096,3.29e-20
CD630_14490,b2153,8e-33
CD630_14500,b3177,1.17e-72
CD630_14510,b3058,2.69e-13
CD630_14520,b0142,1.1799999999999999e-30
CD630_14540,b3066,2.44e-83
CD630_14550,b3067,1.33e-116
CD630_14580,b1004,2.28e-20
CD630_14690,b0376,7.22e-14
CD630_14700,b3611,3.05e-12
CD630_14790,b3409,2.6199999999999998e-135
CD630_14820,b0367,3.3699999999999998e-46
CD630_14890,b0199,8.95e-91
CD630_14900,b0198,4.11e-45
CD630_14910,b0197,4.8299999999999996e-67
CD630_14950,b0386,1.2999999999999999e-104
CD630_15020,b4381,1.3400000000000002e-21
CD630_15120,b0133,7.2e-71
CD630_15130,b0134,1.46e-82
CD630_15190,b2267,1.37e-20
CD630_15210,b1637,7.99e-43
CD630_15280,b0879,5.94e-60
CD630_15340,b3447,6.5400000000000005e-59
CD630_15350,b2521,2.81e-29
CD630_15370,b2468,4.18e-97
CD630_15460,b2899,2.9000000000000004e-27
CD630_15480,b2019,7.93e-24
CD630_15490,b2021,3.59e-46
CD630_15500,b2022,3.93e-61
CD630_15510,b2023,1.72e-41
CD630_15520,b2024,6.98e-48
CD630_15530,b2025,1.85e-80
CD630_15540,b2026,9.829999999999999e-52
CD630_15550,b3370,1.1100000000000001e-35
CD630_15650,b3774,9.32e-39
CD630_15660,b0077,3.98e-149
CD630_15760,b0494,7.22e-13
CD630_15790,b3210,1.46e-34
CD630_15820,b2020,1.33e-98
CD630_15880,b3750,1.1799999999999998e-68
CD630_15910,b0698,3.18e-156
CD630_15920,b0697,0.0
CD630_15930,b0696,5.21e-34
CD630_15940,b2421,5.89e-82
CD630_15950,b3607,1.49e-39
CD630_15960,b0168,2.3699999999999997e-67
CD630_15980,b3155,7.39e-14
CD630_15990,b2103,5.66e-72
CD630_16000,b2104,7.750000000000001e-35
CD630_16010,b3993,1.9e-16
CD630_16040,b0127,3.0499999999999996e-52
CD630_16200,b4356,1.44e-17
CD630_16240,b2079,3.5e-48
CD630_16260,b0381,6.87e-84
CD630_16300,b1728,3.03e-15
CD630_16310,b3908,1.93e-71
CD630_16320,b0674,2.8100000000000002e-33
CD630_16540,b4386,1.18e-50
CD630_16570,b2905,2.08e-67
CD630_16580,b2903,6.08e-95
CD630_16600,b0391,1.0100000000000002e-21
CD630_16610,b1432,1.66e-57
CD630_16630,b2883,1.35e-72
CD630_16660,b3449,6.72e-20
CD630_16820,b2162,5.8299999999999996e-52
CD630_16880,b1969,7.36e-46
CD630_16950,b3502,3.18e-14
CD630_16960,b0007,7.4599999999999995e-115
CD630_16970,b0415,1.7400000000000002e-59
CD630_16980,b1277,3.97e-66
CD630_16990,b1662,4.51e-33
CD630_17000,b0414,1.31e-83
CD630_17010,b3822,1.64e-161
CD630_17020,b3994,9.550000000000001e-124
CD630_17040,b3991,5.76e-87
CD630_17050,b3990,3e-86
CD630_17070,b2298,2.09e-96
CD630_17090,b3857,7.45e-17
CD630_17120,b0009,2.0500000000000003e-27
CD630_17130,b0781,1.2499999999999998e-52
CD630_17140,b0783,1.21e-50
CD630_17300,b2113,8.819999999999999e-54
CD630_17350,b4374,1.3899999999999998e-54
CD630_17380,b4003,3.28e-32
CD630_17390,b4004,3.63e-109
CD630_17460,b3653,2.92e-57
CD630_17470,b1623,8.150000000000001e-59
CD630_17490,b4335,2.16e-147
CD630_17500,b4334,1.28e-77
CD630_17670,b1779,5.070000000000001e-122
CD630_17700,b2213,3.84e-21
CD630_17740,b0811,1.45e-29
CD630_17770,b2471,5.31e-12
CD630_17800,b0948,6.059999999999999e-60
CD630_17820,b3405,1.64e-54
CD630_17830,b2078,5.48e-34
CD630_17850,b3172,4.49e-38
CD630_17890,b0906,2.68e-17
CD630_18040,b4241,3.5099999999999997e-34
CD630_18060,b1772,6.72e-18
CD630_18140,b4395,6.32e-26
CD630_18150,b3492,2.55e-45
CD630_18160,b0910,1.3299999999999997e-54
CD630_18180,b0029,1.8700000000000002e-47
CD630_18200,b3665,2.5100000000000003e-103
CD630_18220,b2480,1.09e-43
CD630_18230,b0006,4.99e-49
CD630_18250,b3939,1.24e-53
CD630_18260,b4013,1.2e-68
CD630_18290,b0695,0.0
CD630_18300,b0694,1.68e-64
CD630_18320,b1215,3.18e-22
CD630_18330,b3389,1.14e-80
CD630_18340,b0908,1.3699999999999999e-62
CD630_18350,b2329,8.7e-74
CD630_18360,b2599,3.19e-50
CD630_18380,b3390,7.25e-21
CD630_18600,b3220,1.42e-49
CD630_18720,b0992,7.37e-18
CD630_18820,b0544,2.78e-11
CD630_18920,b0777,1.75e-11
CD630_19080,b2462,2.27e-40
CD630_19090,b2461,1.11e-16
CD630_19120,b2451,1.6399999999999999e-90
CD630_19130,b2441,0.0
CD630_19140,b2440,7.49e-68
CD630_19150,b2439,1.07e-83
CD630_19180,b2457,2.6400000000000002e-33
CD630_19190,b2459,2.52e-24
CD630_19220,b2456,1.6e-12
CD630_19240,b2452,4.3599999999999996e-128
CD630_19250,b2460,1.86e-25
CD630_19300,b0913,7.9e-12
CD630_19310,b4043,1.84e-36
CD630_19360,b0185,1.54e-104
CD630_19370,b2316,7.44e-96
CD630_19380,b3256,5.2500000000000004e-160
CD630_19390,b3255,1.2600000000000001e-27
CD630_19420,b2960,2.66e-13
CD630_19470,b1117,9.43e-67
