Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3443	GMET_RS18620	+
TU2LZ9-2188	GMET_RS00465	-
TU2LZ9-3210	GMET_RS10595 // GMET_RS10590	+
TU2LZ9-3776	GMET_RS15455	-
TU2LZ9-2781	GMET_RS06290 // GMET_RS06285	-
TU2LZ9-3435	GMET_RS18410	-
TU2LZ9-2255	GMET_RS01150	-
TU2LZ9-2467	GMET_RS03490 // GMET_RS03485 // GMET_RS03480	+
TU2LZ9-2686	GMET_RS05450 // GMET_RS05445	+
TU2LZ9-2419	GMET_RS02895	+
TU2LZ9-3916	GMET_RS16845	-
TU2LZ9-2984	GMET_RS08295	-
TU2LZ9-2331	GMET_RS01835 // GMET_RS01830 // GMET_RS01825 // GMET_RS01820 // GMET_RS01815 // GMET_RS01810	+
TU2LZ9-3223	GMET_RS10745	+
TU2LZ9-3165	GMET_RS10175	-
TU2LZ9-2615	GMET_RS04775	+
TU2LZ9-3525	GMET_RS13235	+
TU2LZ9-2536	GMET_RS04095	+
TU2LZ9-3728	GMET_RS14990	-
TU2LZ9-2918	GMET_RS07700 // GMET_RS07695	+
TU2LZ9-3915	GMET_RS16840 // GMET_RS16835 // GMET_RS16830	+
TU2LZ9-2379	GMET_RS02480 // GMET_RS02475 // GMET_RS02470	+
TU2LZ9-2187	GMET_RS00460	-
TU2LZ9-3151	GMET_RS09990	+
TU2LZ9-2712	GMET_RS05740	+
TU2LZ9-4059	GMET_RS17055	+
TU2LZ9-2968	GMET_RS08145	+
TU2LZ9-2466	GMET_RS03475	+
TU2LZ9-2254	GMET_RS01145	-
TU2LZ9-3798	GMET_RS15685 // GMET_RS15680 // GMET_RS18870 // GMET_RS15675	-
TU2LZ9-3914	GMET_RS16825	+
TU2LZ9-3539	GMET_RS13375	-
TU2LZ9-2330	GMET_RS01800	+
TU2LZ9-3222	GMET_RS10740 // GMET_RS10735 // GMET_RS10730	+
TU2LZ9-3571	GMET_RS13640 // GMET_RS13635 // GMET_RS13630	+
TU2LZ9-3774	GMET_RS15440	-
TU2LZ9-3969	GMET_RS17300	-
TU2LZ9-2614	GMET_RS04770	+
TU2LZ9-3521	GMET_RS13195	-
TU2LZ9-2915	GMET_RS07655 // GMET_RS07650 // GMET_RS07645 // GMET_RS07640 // GMET_RS07635	-
TU2LZ9-4058	GMET_RS17240	+
TU2LZ9-2535	GMET_RS04090	+
TU2LZ9-3773	GMET_RS15435	-
TU2LZ9-4057	GMET_RS17260	+
TU2LZ9-2873	GMET_RS18305	+
TU2LZ9-3408	GMET_RS12315	-
TU2LZ9-3320	GMET_RS11435	-
TU2LZ9-4084	GMET_RS15185	+
TU2LZ9-3913	GMET_RS16820	+
TU2LZ9-4063	GMET_RS16410	+
TU2LZ9-3523	GMET_RS13220	+
TU2LZ9-2186	GMET_RS00455	+
TU2LZ9-3147	GMET_RS09960	-
TU2LZ9-3274	GMET_RS11140	-
TU2LZ9-2465	GMET_RS03470	+
TU2LZ9-3692	GMET_RS14705 // GMET_RS14700	+
TU2LZ9-4155	GMET_RS09730	-
TU2LZ9-3374	GMET_RS12035	-
TU2LZ9-2253	GMET_RS01140	+
TU2LZ9-3097	GMET_RS09450 // GMET_RS09445 // GMET_RS09440 // GMET_RS09435 // GMET_RS09430 // GMET_RS09425 // GMET_RS09420	-
TU2LZ9-2418	GMET_RS02890 // GMET_RS02885	+
TU2LZ9-3495	GMET_RS12965	-
TU2LZ9-3441	GMET_RS18420 // GMET_RS18415 // GMET_RS12575	+
TU2LZ9-2329	GMET_RS01795	+
TU2LZ9-3226	GMET_RS10795 // GMET_RS10790	-
TU2LZ9-3150	GMET_RS09985	+
TU2LZ9-3522	GMET_RS13215 // GMET_RS13210 // GMET_RS13205	-
TU2LZ9-2613	GMET_RS04765	+
TU2LZ9-2534	GMET_RS04085	+
TU2LZ9-3958	GMET_RS19115	+
TU2LZ9-3156	GMET_RS10050 // GMET_RS10045	+
TU2LZ9-2728	GMET_RS05860	+
TU2LZ9-4238	GMET_RS01785	-
TU2LZ9-3038	GMET_RS08860 // GMET_RS08855 // GMET_RS08850	-
TU2LZ9-3158	GMET_RS10070 // GMET_RS10065 // GMET_RS10060	-
TU2LZ9-3096	GMET_RS09415 // GMET_RS09410	-
TU2LZ9-2378	GMET_RS02465	+
TU2LZ9-3299	GMET_RS11295	-
TU2LZ9-2464	GMET_RS03465 // GMET_RS03460	-
TU2LZ9-3911	GMET_RS16745	+
TU2LZ9-2867	GMET_RS07195 // GMET_RS07190 // GMET_RS07185 // GMET_RS07180	+
TU2LZ9-2185	GMET_RS00450	+
TU2LZ9-4207	GMET_RS05150	-
TU2LZ9-4055	GMET_RS19120	+
TU2LZ9-2252	GMET_RS01135	+
TU2LZ9-3770	GMET_RS15420 // GMET_RS15415 // GMET_RS15410 // GMET_RS15405	-
TU2LZ9-3808	GMET_RS15770	-
TU2LZ9-3910	GMET_RS16740 // GMET_RS16735 // GMET_RS16730	+
TU2LZ9-2327	GMET_RS01780	+
TU2LZ9-3224	GMET_RS10750	+
TU2LZ9-2533	GMET_RS04075	+
TU2LZ9-2612	GMET_RS04760	+
TU2LZ9-2965	GMET_RS08130 // GMET_RS08125	+
TU2LZ9-4237	GMET_RS01805	-
TU2LZ9-2463	GMET_RS03455	-
TU2LZ9-3593	GMET_RS13890 // GMET_RS13885	-
TU2LZ9-2778	GMET_RS06270	+
TU2LZ9-3476	GMET_RS12820 // GMET_RS12815 // GMET_RS12810 // GMET_RS12805	-
TU2LZ9-2184	GMET_RS00435 // GMET_RS00430	-
TU2LZ9-2685	GMET_RS05440	-
TU2LZ9-2589	GMET_RS04525	+
TU2LZ9-3106	GMET_RS09595 // GMET_RS09590	+
TU2LZ9-4162	GMET_RS08950	-
TU2LZ9-2687	GMET_RS05455	-
TU2LZ9-3020	GMET_RS08700	-
TU2LZ9-3707	GMET_RS14825	-
TU2LZ9-3907	GMET_RS16715	-
TU2LZ9-2417	GMET_RS02880 // GMET_RS02875	+
TU2LZ9-3094	GMET_RS09390	-
TU2LZ9-3439	GMET_RS12565 // GMET_RS12560 // GMET_RS12555 // GMET_RS12550	-
TU2LZ9-4262	GMET_RS00935	-
TU2LZ9-3148	GMET_RS09970 // GMET_RS09965	-
TU2LZ9-3298	GMET_RS11290	-
TU2LZ9-2532	GMET_RS04070	+
TU2LZ9-2811	GMET_RS06585	+
TU2LZ9-4052	GMET_RS17605	+
TU2LZ9-2611	GMET_RS04755 // GMET_RS04750 // GMET_RS04745	+
TU2LZ9-3519	GMET_RS13185 // GMET_RS13180	+
TU2LZ9-3769	GMET_RS15400	-
TU2LZ9-2737	GMET_RS05940 // GMET_RS05935	+
TU2LZ9-4050	GMET_RS17790	-
TU2LZ9-2462	GMET_RS03450	-
TU2LZ9-3771	GMET_RS15425	-
TU2LZ9-2377	GMET_RS02460 // GMET_RS02455 // GMET_RS02450	+
TU2LZ9-3427	GMET_RS12475 // GMET_RS12470	-
TU2LZ9-2183	GMET_RS00425	-
TU2LZ9-2251	GMET_RS01120	-
TU2LZ9-4051	GMET_RS17775	-
TU2LZ9-2605	GMET_RS04665	+
TU2LZ9-4244	GMET_RS01595	-
TU2LZ9-4161	GMET_RS08955	+
TU2LZ9-4218	GMET_RS03965	-
TU2LZ9-4116	GMET_RS13075	-
TU2LZ9-3373	GMET_RS12030 // GMET_RS18850	+
TU2LZ9-3518	GMET_RS13175	+
TU2LZ9-3557	GMET_RS13515	-
TU2LZ9-2380	GMET_RS02505 // GMET_RS02500 // GMET_RS02495 // GMET_RS02490 // GMET_RS02485	-
TU2LZ9-2822	GMET_RS06690	+
TU2LZ9-2263	GMET_RS01210	-
TU2LZ9-3438	GMET_RS12545 // GMET_RS12540	-
TU2LZ9-3767	GMET_RS15385	-
TU2LZ9-2684	GMET_RS05435 // GMET_RS05430	-
TU2LZ9-2610	GMET_RS04740 // GMET_RS04735	+
TU2LZ9-3241	GMET_RS19040 // GMET_RS10895	+
TU2LZ9-3166	GMET_RS10205 // GMET_RS10200 // GMET_RS10195 // GMET_RS10190 // GMET_RS10185 // GMET_RS10180	-
TU2LZ9-3105	GMET_RS09585 // GMET_RS09580	+
TU2LZ9-3093	GMET_RS09385	-
TU2LZ9-2726	GMET_RS05850	-
TU2LZ9-2461	GMET_RS03445	+
TU2LZ9-4202	GMET_RS05175	+
TU2LZ9-3897	GMET_RS16565	-
TU2LZ9-2815	GMET_RS06625 // GMET_RS06620 // GMET_RS06615 // GMET_RS06610	+
TU2LZ9-3089	GMET_RS09345 // GMET_RS09340 // GMET_RS09335 // GMET_RS09330	-
TU2LZ9-2182	GMET_RS00420	-
TU2LZ9-3904	GMET_RS16680 // GMET_RS16675 // GMET_RS16670	-
TU2LZ9-3750	GMET_RS15205 // GMET_RS15200 // GMET_RS15195 // GMET_RS15190	-
TU2LZ9-2994	GMET_RS08385	-
TU2LZ9-3221	GMET_RS10725 // GMET_RS10720 // GMET_RS10715 // GMET_RS10710 // GMET_RS10705 // GMET_RS10700 // GMET_RS10695 // GMET_RS10690 // GMET_RS10685	+
TU2LZ9-4049	GMET_RS17810	-
TU2LZ9-4094	GMET_RS14640	+
TU2LZ9-4110	GMET_RS13200	+
TU2LZ9-2919	GMET_RS07710 // GMET_RS07705	+
TU2LZ9-3297	GMET_RS11285	-
TU2LZ9-2777	GMET_RS06265 // GMET_RS06260	-
TU2LZ9-2860	GMET_RS18980	+
TU2LZ9-2530	GMET_RS04055	+
TU2LZ9-2416	GMET_RS02870	+
TU2LZ9-3753	GMET_RS15250 // GMET_RS15245	-
TU2LZ9-3300	GMET_RS11305 // GMET_RS11300	-
TU2LZ9-3091	GMET_RS19015 // GMET_RS09360	-
TU2LZ9-3146	GMET_RS09955	+
TU2LZ9-2608	GMET_RS04705 // GMET_RS04700 // GMET_RS04695	-
TU2LZ9-3296	GMET_RS11275	-
TU2LZ9-3516	GMET_RS13155 // GMET_RS13150 // GMET_RS13145 // GMET_RS13140	-
TU2LZ9-2460	GMET_RS03440	+
TU2LZ9-4234	GMET_RS02315	+
TU2LZ9-4254	GMET_RS01160	-
TU2LZ9-2770	GMET_RS06180	+
TU2LZ9-2376	GMET_RS02445 // GMET_RS02440	-
TU2LZ9-2181	GMET_RS00415	-
TU2LZ9-2914	GMET_RS07630 // GMET_RS07625	-
TU2LZ9-2723	GMET_RS05825 // GMET_RS05820 // GMET_RS05815 // GMET_RS05810	-
TU2LZ9-3090	GMET_RS09355 // GMET_RS09350	-
TU2LZ9-2775	GMET_RS06250 // GMET_RS06245	+
TU2LZ9-2250	GMET_RS01115	-
TU2LZ9-2683	GMET_RS05425 // GMET_RS05420 // GMET_RS05415 // GMET_RS05410 // GMET_RS05405 // GMET_RS05400 // GMET_RS05395	-
TU2LZ9-2870	GMET_RS07235 // GMET_RS07230 // GMET_RS07225 // GMET_RS18770	+
TU2LZ9-3375	GMET_RS12040	-
TU2LZ9-3688	GMET_RS14665	-
TU2LZ9-3104	GMET_RS09575 // GMET_RS09570 // GMET_RS09565	-
TU2LZ9-4151	GMET_RS10075	+
TU2LZ9-2529	GMET_RS04050	+
TU2LZ9-2724	GMET_RS05830	-
TU2LZ9-3768	GMET_RS15395 // GMET_RS15390	+
TU2LZ9-3901	GMET_RS16635 // GMET_RS16630 // GMET_RS16625	+
TU2LZ9-3515	GMET_RS13135 // GMET_RS13130	+
TU2LZ9-2324	GMET_RS01765	+
TU2LZ9-3436	GMET_RS18185	-
TU2LZ9-3145	GMET_RS09950 // GMET_RS09945	+
TU2LZ9-3001	GMET_RS08455	-
TU2LZ9-2607	GMET_RS04690 // GMET_RS04685 // GMET_RS04680 // GMET_RS04675	+
TU2LZ9-4046	GMET_RS18025 // GMET_RS18020	-
TU2LZ9-2459	GMET_RS03435	+
TU2LZ9-2960	GMET_RS18325 // GMET_RS18545	+
TU2LZ9-3371	GMET_RS12010	-
TU2LZ9-3604	GMET_RS13990	-
TU2LZ9-4226	GMET_RS03580	-
TU2LZ9-3870	GMET_RS16345 // GMET_RS16340	+
TU2LZ9-2180	GMET_RS00410	-
TU2LZ9-3514	GMET_RS13120	+
TU2LZ9-3629	GMET_RS14150	-
TU2LZ9-2725	GMET_RS05845 // GMET_RS05840 // GMET_RS05835	-
TU2LZ9-3550	GMET_RS13475	-
TU2LZ9-2249	GMET_RS01110 // GMET_RS01105	+
TU2LZ9-3108	GMET_RS09615 // GMET_RS09610	-
TU2LZ9-4160	GMET_RS08975	+
TU2LZ9-3087	GMET_RS09320	-
TU2LZ9-2817	GMET_RS06655	+
TU2LZ9-3347	GMET_RS11725	-
TU2LZ9-2682	GMET_RS05390	+
TU2LZ9-3900	GMET_RS16620 // GMET_RS16615 // GMET_RS16610 // GMET_RS16605 // GMET_RS16600 // GMET_RS16595 // GMET_RS16590	+
TU2LZ9-3513	GMET_RS13115	+
TU2LZ9-2949	GMET_RS07970 // GMET_RS07965 // GMET_RS07960	+
TU2LZ9-2913	GMET_RS07615	-
TU2LZ9-2286	GMET_RS01455 // GMET_RS01450 // GMET_RS01445 // GMET_RS01440 // GMET_RS01435	+
TU2LZ9-2323	GMET_RS01755 // GMET_RS01750	+
TU2LZ9-3819	GMET_RS15855 // GMET_RS15850	-
