Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G12WB-1197,CD630_10740,1267973,1268384,G12WB-1197-MONOMER,AM180355.1
G12WB-902,CD630_07910,963448,964093,G12WB-902-MONOMER,AM180355.1
G12WB-2608,CD630_24540,2830131,2831607,G12WB-2608-MONOMER,AM180355.1
G12WB-3119,CD630_29550,3431093,3432467,G12WB-3119-MONOMER,AM180355.1
G12WB-1599,CD630_14620,1691064,1691454,G12WB-1599-MONOMER,AM180355.1
G12WB-8,CD630_00080,8856,9117,G12WB-8-MONOMER,AM180355.1
G12WB-2516,CD630_23660,2733351,2733810,G12WB-2516-MONOMER,AM180355.1
G12WB-1154,CD630_10350,1214567,1216586,G12WB-1154-MONOMER,AM180355.1
G12WB-3560,CD630_33870,3959234,3960044,G12WB-3560-MONOMER,AM180355.1
G12WB-733,CD630_06250,745810,747049,G12WB-733-MONOMER,AM180355.1
G12WB-2446,CD630_22930,2659602,2659899,G12WB-2446-MONOMER,AM180355.1
G12WB-1565,CD630_14280,1655796,1656162,G12WB-1565-MONOMER,AM180355.1
G12WB-472,CD630_03660,437438,438365,G12WB-472-MONOMER,AM180355.1
G12WB-704,CD630_05920,715861,716257,G12WB-704-MONOMER,AM180355.1
G12WB-2380,CD630_22240,2575126,2575357,G12WB-2380-MONOMER,AM180355.1
G12WB-353,CD630_02500,312978,313710,G12WB-353-MONOMER,AM180355.1
G12WB-91,CD630_00390,61658,63389,G12WB-91-MONOMER,AM180355.1
G12WB-1083,CD630_09670,1135394,1137101,G12WB-1083-MONOMER,AM180355.1
G12WB-2303,CD630_21460,2483561,2484629,G12WB-2303-MONOMER,AM180355.1
G12WB-4402,CD630_13750,1593067,1593187,G12WB-4402-MONOMER,AM180355.1
G12WB-2291,CD630_21350,2471996,2472776,G12WB-2291-MONOMER,AM180355.1
G12WB-2227,CD630_20751,2393925,2394003,G12WB-2227-MONOMER,AM180355.1
G12WB-635,CD630_05211,623249,623408,G12WB-635-MONOMER,AM180355.1
G12WB-2013,CD630_18670,2168792,2169254,G12WB-2013-MONOMER,AM180355.1
G12WB-2705,CD630_25500,2949670,2950948,G12WB-2705-MONOMER,AM180355.1
G12WB-4595,CD630_34531,4047223,4047418,G12WB-4595-MONOMER,AM180355.1
G12WB-1054,CD630_09420,1112323,1112551,G12WB-1054-MONOMER,AM180355.1
G12WB-875,CD630_07630,936611,937046,G12WB-875-MONOMER,AM180355.1
G12WB-3135,CD630_29690,3450327,3451719,G12WB-3135-MONOMER,AM180355.1
G12WB-1034,CD630_09241,1101879,1102005,G12WB-1034-MONOMER,AM180355.1
G12WB-2187,CD630_20390,2352112,2352736,G12WB-2187-MONOMER,AM180355.1
G12WB-2256,CD630_21030,2429592,2430675,G12WB-2256-MONOMER,AM180355.1
G12WB-1169,CD630_10500,1243524,1244385,G12WB-1169-MONOMER,AM180355.1
G12WB-2136,CD630_19921,2300317,2300482,G12WB-2136-MONOMER,AM180355.1
G12WB-4441,CD630_16781,1954117,1954381,G12WB-4441-MONOMER,AM180355.1
G12WB-2670,CD630_25160,2905442,2906438,G12WB-2670-MONOMER,AM180355.1
G12WB-1581,CD630_14440,1675402,1676122,G12WB-1581-MONOMER,AM180355.1
G12WB-4305,CD630_03150,383015,383228,G12WB-4305-MONOMER,AM180355.1
G12WB-1006,CD630_08980,1080110,1081616,G12WB-1006-MONOMER,AM180355.1
G12WB-3089,CD630_29270,3412605,3413754,G12WB-3089-MONOMER,AM180355.1
G12WB-3546,CD630_33730,3942573,3945339,G12WB-3546-MONOMER,AM180355.1
G12WB-3879,CDP06,0,456,G12WB-3879-MONOMER,CDP06
G12WB-2042,CD630_18970,2200637,2201096,G12WB-2042-MONOMER,AM180355.1
G12WB-1135,CD630_10200,1191021,1191708,G12WB-1135-MONOMER,AM180355.1
G12WB-454,CD630_03450,421154,421967,G12WB-454-MONOMER,AM180355.1
G12WB-3823,CD630_36361,4245370,4245595,G12WB-3823-MONOMER,AM180355.1
G12WB-1936,CD630_17890,2071341,2072001,G12WB-1936-MONOMER,AM180355.1
G12WB-1547,CD630_14090,1633313,1634570,G12WB-1547-MONOMER,AM180355.1
G12WB-2028,CD630_18820,2187410,2188916,G12WB-2028-MONOMER,AM180355.1
G12WB-3768,CD630_35810,4180959,4181832,G12WB-3768-MONOMER,AM180355.1
