Modified_enzyme,Core_enzyme,Modifications,Source
VC_0591-MONOMER_mod_mg2(1)_mod_nh4(1),VC_0591-MONOMER,mg2(1) AND nh4(1),Homology
VC_0591-MONOMER_mod_mn2(1)_mod_k(1),VC_0591-MONOMER,mn2(1) AND k(1),Homology
VC_0591-MONOMER_mod_mn2(1)_mod_nh4(1),VC_0591-MONOMER,mn2(1) AND nh4(1),Homology
VC_0592-MONOMER_mod_mg2(1),VC_0592-MONOMER,mg2(1),Homology
VC_0593-MONOMER_mod_mg2(1),VC_0593-MONOMER,mg2(1),Homology
VC_0604-MONOMER_mod_4fe4s(1),VC_0604-MONOMER,4fe4s(1),Homology
VC_0626-MONOMER_mod_pydx5p(1),VC_0626-MONOMER,pydx5p(1),Homology
VC_0627-MONOMER_mod_2fe2s(1),VC_0627-MONOMER,2fe2s(1),Homology
VC_0627-MONOMER_mod_4fe4s(1),VC_0627-MONOMER,4fe4s(1),Homology
VC_0638-MONOMER_mod_mg2(1),VC_0638-MONOMER,mg2(1),Homology
VC_0664-MONOMER_mod_mg2(6),VC_0664-MONOMER,mg2(6),Homology
VC_0664-MONOMER_mod_lys__L(1),VC_0664-MONOMER,lys__L(1),Homology
VC_0675-MONOMER_mod_mg2(1),VC_0675-MONOMER,mg2(1),Homology
VC_0682-MONOMER_mod_zn2(2),VC_0682-MONOMER,zn2(2),Homology
VC_0685-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1),VC_0685-MONOMER,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),Homology
VC_0691-MONOMER_mod_mg2(1),VC_0691-MONOMER,mg2(1),Homology
VC_0695-MONOMER_mod_fe2(2),VC_0695-MONOMER,fe2(2),Homology
VC_0702-MONOMER_mod_mg2(1),VC_0702-MONOMER,mg2(1),Homology
VC_0709-MONOMER_mod_mg2(1),VC_0709-MONOMER,mg2(1),Homology
VC_0722-MONOMER_mod_mg2(1),VC_0722-MONOMER,mg2(1),Homology
VC_0736-MONOMER_mod_mg2(1),VC_0736-MONOMER,mg2(1),Homology
VC_0736-MONOMER_mod_mn2(1),VC_0736-MONOMER,mn2(1),Homology
VC_0741-MONOMER_mod_zn2(6),VC_0741-MONOMER,zn2(6),Homology
VC_0745-MONOMER_mod_mg2(1),VC_0745-MONOMER,mg2(1),Homology
VC_0748-MONOMER_mod_pydx5p(2),VC_0748-MONOMER,pydx5p(2),Homology
VC_0749-MONOMER_mod_fe2(1),VC_0749-MONOMER,fe2(1),Homology
VC_0749-MONOMER_mod_fe2(2),VC_0749-MONOMER,fe2(2),Homology
VC_0756-MONOMER_mod_mg2(1),VC_0756-MONOMER,mg2(1),Homology
VC_0756-MONOMER_mod_mn2(1),VC_0756-MONOMER,mn2(1),Homology
VC_0756-MONOMER_mod_ca2(1),VC_0756-MONOMER,ca2(1),Homology
VC_0757-MONOMER_mod_4fe4s(1),VC_0757-MONOMER,4fe4s(1),Homology
VC_0759-MONOMER_mod_mn2(1),VC_0759-MONOMER,mn2(1),Homology
VC_0760-MONOMER_mod_mg2(4),VC_0760-MONOMER,mg2(4),Homology
VC_0768-MONOMER_mod_mg2(1),VC_0768-MONOMER,mg2(1),Homology
VC_0773-MONOMER_mod_mg2(1),VC_0773-MONOMER,mg2(1),Homology
VC_0853-MONOMER_mod_mg2(1),VC_0853-MONOMER,mg2(1),Homology
VC_0856-MONOMER_mod_zn2(4),VC_0856-MONOMER,zn2(4),Homology
VC_0864-MONOMER_mod_zn2(2),VC_0864-MONOMER,zn2(2),Homology
