Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS14585-MONOMER	USA300HOU_RS14585	polyisoprenoid-binding protein	
USA300HOU_RS00005-MONOMER	USA300HOU_RS00005	chromosomal replication initiator protein DnaA	CCI-CYTOSOL-GP
USA300HOU_RS11465-MONOMER	USA300HOU_RS11465	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05485-MONOMER	USA300HOU_RS05485	spermidine/putrescine import ATP-binding protein PotA	CCI-PM-BAC-POS-GP
USA300HOU_RS09290-MONOMER	USA300HOU_RS09290	phosphotransferase	
USA300HOU_RS07455-MONOMER	USA300HOU_RS07455	CCA-adding enzyme	CCI-CYTOSOL-GP
USA300HOU_RS02280-MONOMER	USA300HOU_RS02280	DUF2309 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12930-MONOMER	USA300HOU_RS12930	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS13810-MONOMER	USA300HOU_RS13810	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03340-MONOMER	USA300HOU_RS03340	replication initiation factor domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS03375-MONOMER	USA300HOU_RS03375	recombinase	CCI-CYTOSOL-GP
USA300HOU_RS06855-MONOMER	USA300HOU_RS06855	nuclease SbcCD subunit C	CCI-CYTOSOL-GP
USA300HOU_RS01275-MONOMER	USA300HOU_RS01275	PTS sugar transporter subunit IIA	CCI-CYTOSOL-GP
USA300HOU_RS14615-MONOMER	USA300HOU_RS14615	DinB family protein	CCI-CYTOSOL-GP
USA300HOU_RS05780-MONOMER	USA300HOU_RS05780	hypothetical protein	
USA300HOU_RS08185-MONOMER	USA300HOU_RS08185	lipoate--protein ligase family protein	CCI-CYTOSOL-GP
USA300HOU_RS14060-MONOMER	USA300HOU_RS14060	TetR/AcrR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS00070-MONOMER	USA300HOU_RS00070	DHH family phosphoesterase	CCI-CYTOSOL-GP
USA300HOU_RS04015-MONOMER	USA300HOU_RS04015	glycerate kinase	CCI-CYTOSOL-GP
USA300HOU_RS07865-MONOMER	USA300HOU_RS07865	DUF3113 domain-containing protein	
USA300HOU_RS12730-MONOMER	USA300HOU_RS12730	TetR/AcrR family transcriptional regulator	
USA300HOU_RS04910-MONOMER	USA300HOU_RS04910	peptide ABC transporter substrate-binding protein	CCI-CW-BAC-POS-GP
USA300HOU_RS04895-MONOMER	USA300HOU_RS04895	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS08450-MONOMER	USA300HOU_RS08450	elongation factor 4	CCI-PM-BAC-POS-GP
USA300HOU_RS04155-MONOMER	USA300HOU_RS04155	sporulation regulator WhiA	CCI-CYTOSOL-GP
USA300HOU_RS11570-MONOMER	USA300HOU_RS11570	mannose-6-phosphate isomerase	CCI-CYTOSOL-GP
USA300HOU_RS09570-MONOMER	USA300HOU_RS09570	hypothetical protein	
USA300HOU_RS02005-MONOMER	USA300HOU_RS02005	NDxxF motif lipoprotein	
USA300HOU_RS07515-MONOMER	USA300HOU_RS07515	heptaprenyl diphosphate synthase subunit II	
USA300HOU_RS00515-MONOMER	USA300HOU_RS00515	tandem-type lipoprotein	
USA300HOU_RS05935-MONOMER	USA300HOU_RS05935	penicillin-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06070-MONOMER	USA300HOU_RS06070	DUF814 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14005-MONOMER	USA300HOU_RS14005	GTP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS00860-MONOMER	USA300HOU_RS00860	sugar transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS10500-MONOMER	USA300HOU_RS10500	GntR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS01740-MONOMER	USA300HOU_RS01740	lipoate--protein ligase A	CCI-CYTOSOL-GP
USA300HOU_RS08100-MONOMER	USA300HOU_RS08100	2-oxo acid dehydrogenase subunit E2	CCI-CYTOSOL-GP
USA300HOU_RS00360-MONOMER	USA300HOU_RS00360	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02770-MONOMER	USA300HOU_RS02770	DNA repair protein RadA	CCI-CYTOSOL-GP
USA300HOU_RS02105-MONOMER	USA300HOU_RS02105	superantigen-like protein SSL1	CCI-EXTRACELLULAR-GP
USA300HOU_RS14010-MONOMER	USA300HOU_RS14010	ferrous iron transporter B	CCI-PM-BAC-POS-GP
USA300HOU_RS12970-MONOMER	USA300HOU_RS12970	nitrite reductase (NAD(P)H) small subunit	CCI-CYTOSOL-GP
USA300HOU_RS09490-MONOMER	USA300HOU_RS09490	NERD domain-containing protein	
USA300HOU_RS10825-MONOMER	USA300HOU_RS10825	XRE family transcriptional regulator	
USA300HOU_RS11210-MONOMER	USA300HOU_RS11210	potassium-transporting ATPase subunit B	CCI-PM-BAC-POS-GP
USA300HOU_RS01110-MONOMER	USA300HOU_RS01110	gfo/Idh/MocA family oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS10855-MONOMER	USA300HOU_RS10855	toxin MazF	
USA300HOU_RS03575-MONOMER	USA300HOU_RS03575	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13990-MONOMER	USA300HOU_RS13990	KR domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01980-MONOMER	USA300HOU_RS01980	XRE family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06135-MONOMER	USA300HOU_RS06135	GTPase	CCI-CYTOSOL-GP
USA300HOU_RS02145-MONOMER	USA300HOU_RS02145	superantigen-like protein SSL7	CCI-EXTRACELLULAR-GP
USA300HOU_RS05390-MONOMER	USA300HOU_RS05390	hypothetical protein	
USA300HOU_RS08575-MONOMER	USA300HOU_RS08575	transcription elongation factor GreA	CCI-CYTOSOL-GP
USA300HOU_RS01995-MONOMER	USA300HOU_RS01995	histidine phosphatase family protein	CCI-CYTOSOL-GP
USA300HOU_RS02315-MONOMER	USA300HOU_RS02315	cysteine synthase family protein	CCI-CYTOSOL-GP
USA300HOU_RS01605-MONOMER	USA300HOU_RS01605	TIGR01741 family protein	CCI-CYTOSOL-GP
USA300HOU_RS12875-MONOMER	USA300HOU_RS12875	DUF1722 domain-containing protein	
USA300HOU_RS07040-MONOMER	USA300HOU_RS07040	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02070-MONOMER	USA300HOU_RS02070	GMP synthase (glutamine-hydrolyzing)	CCI-CYTOSOL-GP
USA300HOU_RS11145-MONOMER	USA300HOU_RS11145	RNA polymerase sigma factor SigB	CCI-CYTOSOL-GP
USA300HOU_RS08235-MONOMER	USA300HOU_RS08235	prepilin-type N-terminal cleavage/methylation domain-containing protein	CCI-CW-BAC-POS-GP
USA300HOU_RS15635-MONOMER	USA300HOU_RS15635	hypothetical protein	
USA300HOU_RS03745-MONOMER	USA300HOU_RS03745	DUF1361 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03585-MONOMER	USA300HOU_RS03585	DUF47 domain-containing protein	
USA300HOU_RS13815-MONOMER	USA300HOU_RS13815	hydroxymethylglutaryl-CoA reductase, degradative	CCI-CYTOSOL-GP
USA300HOU_RS12410-MONOMER	USA300HOU_RS12410	urease accessory protein	CCI-CYTOSOL-GP
USA300HOU_RS03550-MONOMER	USA300HOU_RS03550	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01425-MONOMER	USA300HOU_RS01425	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08030-MONOMER	USA300HOU_RS08030	SDR family oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS00240-MONOMER	USA300HOU_RS00240	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10220-MONOMER	USA300HOU_RS10220	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS09470-MONOMER	USA300HOU_RS09470	camphor resistance protein CrcB	CCI-PM-BAC-POS-GP
USA300HOU_RS07250-MONOMER	USA300HOU_RS07250	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05065-MONOMER	USA300HOU_RS05065	PDZ domain-containing protein	
USA300HOU_RS02530-MONOMER	USA300HOU_RS02530	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	
USA300HOU_RS03245-MONOMER	USA300HOU_RS03245	iron ABC transporter permease	
USA300HOU_RS06415-MONOMER	USA300HOU_RS06415	30S ribosomal protein S15	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS01090-MONOMER	USA300HOU_RS01090	sugar ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09100-MONOMER	USA300HOU_RS09100	cysteine desulfurase	
USA300HOU_RS12950-MONOMER	USA300HOU_RS12950	nitrate reductase molybdenum cofactor assembly chaperone	
USA300HOU_RS10690-MONOMER	USA300HOU_RS10690	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS09720-MONOMER	USA300HOU_RS09720	beta-channel forming cytolysin	CCI-EXTRACELLULAR-GP
USA300HOU_RS05165-MONOMER	USA300HOU_RS05165	hypothetical protein	
USA300HOU_RS03895-MONOMER	USA300HOU_RS03895	DNA helicase RecQ	
USA300HOU_RS02830-MONOMER	USA300HOU_RS02830	50S ribosomal protein L1	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS06155-MONOMER	USA300HOU_RS06155	Asp23/Gls24 family envelope stress response protein	
USA300HOU_RS01365-MONOMER	USA300HOU_RS01365	antiholin-like protein LrgB	CCI-PM-BAC-POS-GP
USA300HOU_RS03430-MONOMER	USA300HOU_RS03430	metal ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04355-MONOMER	USA300HOU_RS04355	3-dehydroquinase	CCI-CYTOSOL-GP
USA300HOU_RS07065-MONOMER	USA300HOU_RS07065	phosphate ABC transporter permease subunit PstC	CCI-PM-BAC-POS-GP
USA300HOU_RS07435-MONOMER	USA300HOU_RS07435	DnaD domain protein	CCI-CYTOSOL-GP
USA300HOU_RS12655-MONOMER	USA300HOU_RS12655	galactose mutarotase	CCI-CYTOSOL-GP
USA300HOU_RS08610-MONOMER	USA300HOU_RS08610	IreB family regulatory phosphoprotein	
USA300HOU_RS15185-MONOMER	USA300HOU_RS15185	pathogenicity island protein	
USA300HOU_RS01840-MONOMER	USA300HOU_RS01840	twin-arginine translocase TatA/TatE family subunit	
USA300HOU_RS09800-MONOMER	USA300HOU_RS09800	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS11205-MONOMER	USA300HOU_RS11205	potassium-transporting ATPase subunit C	CCI-PM-BAC-POS-GP
USA300HOU_RS14105-MONOMER	USA300HOU_RS14105	hypothetical protein	
USA300HOU_RS04235-MONOMER	USA300HOU_RS04235	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12390-MONOMER	USA300HOU_RS12390	urease subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS04785-MONOMER	USA300HOU_RS04785	inactive signal peptidase IA	CCI-CW-BAC-POS-GP
USA300HOU_RS11055-MONOMER	USA300HOU_RS11055	hypothetical protein	
USA300HOU_RS14620-MONOMER	USA300HOU_RS14620	anion permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12455-MONOMER	USA300HOU_RS12455	octopine dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS09910-MONOMER	USA300HOU_RS09910	glucosamine-6-phosphate isomerase	CCI-CYTOSOL-GP
USA300HOU_RS12630-MONOMER	USA300HOU_RS12630	formimidoylglutamase	CCI-CYTOSOL-GP
USA300HOU_RS12090-MONOMER	USA300HOU_RS12090	30S ribosomal protein S5	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS12790-MONOMER	USA300HOU_RS12790	LytTR family transcriptional regulator	
USA300HOU_RS14720-MONOMER	USA300HOU_RS14720	ribonuclease P protein component	
USA300HOU_RS07310-MONOMER	USA300HOU_RS07310	hypothetical protein	
USA300HOU_RS05400-MONOMER	USA300HOU_RS05400	phosphoenolpyruvate--protein phosphotransferase	CCI-CYTOSOL-GP
USA300HOU_RS04585-MONOMER	USA300HOU_RS04585	DUF1027 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00825-MONOMER	USA300HOU_RS00825	capsular polysaccharide biosynthesis protein Cap8F	CCI-CYTOSOL-GP
USA300HOU_RS06550-MONOMER	USA300HOU_RS06550	aerobic glycerol-3-phosphate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS11220-MONOMER	USA300HOU_RS11220	K(+)-transporting ATPase subunit F	CCI-PM-BAC-POS-GP
USA300HOU_RS05000-MONOMER	USA300HOU_RS05000	magnesium transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS14540-MONOMER	USA300HOU_RS14540	histidinol dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13800-MONOMER	USA300HOU_RS13800	hypothetical protein	
USA300HOU_RS05790-MONOMER	USA300HOU_RS05790	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07445-MONOMER	USA300HOU_RS07445	ATP-dependent helicase DinG	CCI-CYTOSOL-GP
USA300HOU_RS03480-MONOMER	USA300HOU_RS03480	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07955-MONOMER	USA300HOU_RS07955	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07695-MONOMER	USA300HOU_RS07695	peptidase	CCI-CYTOSOL-GP
USA300HOU_RS13520-MONOMER	USA300HOU_RS13520	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS03175-MONOMER	USA300HOU_RS03175	DUF443 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11905-MONOMER	USA300HOU_RS11905	NAD-dependent protein deacylase	CCI-CYTOSOL-GP
USA300HOU_RS07665-MONOMER	USA300HOU_RS07665	DUF2951 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06195-MONOMER	USA300HOU_RS06195	acyl carrier protein	CCI-CYTOSOL-GP
USA300HOU_RS06180-MONOMER	USA300HOU_RS06180	malonyl CoA-ACP transacylase	CCI-CYTOSOL-GP
USA300HOU_RS08335-MONOMER	USA300HOU_RS08335	DNA primase	CCI-CYTOSOL-GP
USA300HOU_RS09645-MONOMER	USA300HOU_RS09645	serine protease SplC	CCI-EXTRACELLULAR-GP
USA300HOU_RS00100-MONOMER	USA300HOU_RS00100	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS04925-MONOMER	USA300HOU_RS04925	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15530-MONOMER	USA300HOU_RS15530	hypothetical protein	
USA300HOU_RS02455-MONOMER	USA300HOU_RS02455	thymidylate kinase	CCI-CYTOSOL-GP
USA300HOU_RS04880-MONOMER	USA300HOU_RS04880	beta-ketoacyl-[acyl-carrier-protein] synthase II	CCI-PM-BAC-POS-GP
USA300HOU_RS00495-MONOMER	USA300HOU_RS00495	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12575-MONOMER	USA300HOU_RS12575	PTS alpha-glucoside transporter subunit IIBC	CCI-PM-BAC-POS-GP
USA300HOU_RS04430-MONOMER	USA300HOU_RS04430	enterotoxin	CCI-EXTRACELLULAR-GP
USA300HOU_RS02875-MONOMER	USA300HOU_RS02875	elongation factor G	CCI-CYTOSOL-GP
USA300HOU_RS02365-MONOMER	USA300HOU_RS02365	hypothetical protein	
USA300HOU_RS11850-MONOMER	USA300HOU_RS11850	zinc-binding alcohol dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS04830-MONOMER	USA300HOU_RS04830	O-acetyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13265-MONOMER	USA300HOU_RS13265	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS07540-MONOMER	USA300HOU_RS07540	glycerol-3-phosphate dehydrogenase (NAD(P)(+))	CCI-CYTOSOL-GP
USA300HOU_RS08045-MONOMER	USA300HOU_RS08045	glucose-6-phosphate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13915-MONOMER	USA300HOU_RS13915	diapolycopene oxygenase	CCI-CYTOSOL-GP
USA300HOU_RS03385-MONOMER	USA300HOU_RS03385	Na(+)/H(+) antiporter subunit B	CCI-PM-BAC-POS-GP
USA300HOU_RS11395-MONOMER	USA300HOU_RS11395	ATP synthase	
USA300HOU_RS10475-MONOMER	USA300HOU_RS10475	thioredoxin family protein	
USA300HOU_RS09170-MONOMER	USA300HOU_RS09170	PDZ domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01635-MONOMER	USA300HOU_RS01635	hypothetical protein	
USA300HOU_RS14465-MONOMER	USA300HOU_RS14465	capsular polysaccharide biosynthesis protein Cap5B	CCI-PM-BAC-POS-GP
USA300HOU_RS14265-MONOMER	USA300HOU_RS14265	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS06565-MONOMER	USA300HOU_RS06565	RNA chaperone Hfq	CCI-CYTOSOL-GP
USA300HOU_RS00980-MONOMER	USA300HOU_RS00980	branched-chain amino acid transport system II carrier protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03025-MONOMER	USA300HOU_RS03025	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03500-MONOMER	USA300HOU_RS03500	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11265-MONOMER	USA300HOU_RS11265	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12580-MONOMER	USA300HOU_RS12580	MurR/RpiR family transcriptional regulator	
USA300HOU_RS05235-MONOMER	USA300HOU_RS05235	hypothetical protein	
USA300HOU_RS10955-MONOMER	USA300HOU_RS10955	delta-lysin family phenol-soluble modulin	
USA300HOU_RS13200-MONOMER	USA300HOU_RS13200	phosphohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS12360-MONOMER	USA300HOU_RS12360	purine nucleosidase	CCI-CYTOSOL-GP
USA300HOU_RS14475-MONOMER	USA300HOU_RS14475	biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR	CCI-CYTOSOL-GP
USA300HOU_RS04865-MONOMER	USA300HOU_RS04865	MAP domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06725-MONOMER	USA300HOU_RS06725	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14235-MONOMER	USA300HOU_RS14235	hypothetical protein	
USA300HOU_RS15385-MONOMER	USA300HOU_RS15385	hypothetical protein	
USA300HOU_RS09605-MONOMER	USA300HOU_RS09605	ATP-binding protein	
USA300HOU_RS11920-MONOMER	USA300HOU_RS11920	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09140-MONOMER	USA300HOU_RS09140	alanine--glyoxylate aminotransferase family protein	CCI-CYTOSOL-GP
USA300HOU_RS09850-MONOMER	USA300HOU_RS09850	exonuclease SbcCD subunit D	CCI-CYTOSOL-GP
USA300HOU_RS04975-MONOMER	USA300HOU_RS04975	CYTH domain-containing protein	
USA300HOU_RS06685-MONOMER	USA300HOU_RS06685	hypothetical protein	
USA300HOU_RS11005-MONOMER	USA300HOU_RS11005	oxidoreductase	
USA300HOU_RS02475-MONOMER	USA300HOU_RS02475	signal peptidase II	CCI-CYTOSOL-GP
USA300HOU_RS13255-MONOMER	USA300HOU_RS13255	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS05555-MONOMER	USA300HOU_RS05555	FtsW/RodA/SpoVE family cell cycle protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08670-MONOMER	USA300HOU_RS08670	hypothetical protein	
USA300HOU_RS11095-MONOMER	USA300HOU_RS11095	3-isopropylmalate dehydratase small subunit	CCI-CYTOSOL-GP
USA300HOU_RS08015-MONOMER	USA300HOU_RS08015	NUDIX hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS01525-MONOMER	USA300HOU_RS01525	DUF5081 domain-containing protein	
USA300HOU_RS10175-MONOMER	USA300HOU_RS10175	type 1 glutamine amidotransferase	CCI-CYTOSOL-GP
USA300HOU_RS09590-MONOMER	USA300HOU_RS09590	transposase	
USA300HOU_RS11585-MONOMER	USA300HOU_RS11585	cation transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS06745-MONOMER	USA300HOU_RS06745	aspartate kinase	CCI-CYTOSOL-GP
USA300HOU_RS08925-MONOMER	USA300HOU_RS08925	primosomal protein DnaI	CCI-CYTOSOL-GP
USA300HOU_RS00585-MONOMER	USA300HOU_RS00585	HTH-type transcriptional regulator SarS	CCI-CYTOSOL-GP
USA300HOU_RS04775-MONOMER	USA300HOU_RS04775	glucose-6-phosphate isomerase	CCI-CYTOSOL-GP
USA300HOU_RS01700-MONOMER	USA300HOU_RS01700	lipase	CCI-EXTRACELLULAR-GP
USA300HOU_RS11200-MONOMER	USA300HOU_RS11200	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11880-MONOMER	USA300HOU_RS11880	tagatose 1,6-diphosphate aldolase	CCI-CYTOSOL-GP
USA300HOU_RS14100-MONOMER	USA300HOU_RS14100	L-lactate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS00405-MONOMER	USA300HOU_RS00405	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06335-MONOMER	USA300HOU_RS06335	elongation factor Ts	CCI-CYTOSOL-GP
USA300HOU_RS04325-MONOMER	USA300HOU_RS04325	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02295-MONOMER	USA300HOU_RS02295	PAP2 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05260-MONOMER	USA300HOU_RS05260	protein FmtA	CCI-PM-BAC-POS-GP
USA300HOU_RS10120-MONOMER	USA300HOU_RS10120	hypothetical protein	
USA300HOU_RS03750-MONOMER	USA300HOU_RS03750	DUF296 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12745-MONOMER	USA300HOU_RS12745	zinc ribbon domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09375-MONOMER	USA300HOU_RS09375	hypothetical protein	
USA300HOU_RS13075-MONOMER	USA300HOU_RS13075	cation transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04860-MONOMER	USA300HOU_RS04860	YbhB/YbcL family Raf kinase inhibitor-like protein	
USA300HOU_RS00605-MONOMER	USA300HOU_RS00605	siderophore biosynthesis protein SbnA	CCI-CYTOSOL-GP
USA300HOU_RS11365-MONOMER	USA300HOU_RS11365	ATP synthase subunit gamma	CCI-PM-BAC-POS-GP
USA300HOU_RS09390-MONOMER	USA300HOU_RS09390	riboflavin biosynthesis protein RibBA	CCI-CYTOSOL-GP
CPLX1OEB-21	USA300HOU_RS05410 // USA300HOU_RS05415	cytochrome d ubiquinol oxidase	
USA300HOU_RS00260-MONOMER	USA300HOU_RS00260	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09405-MONOMER	USA300HOU_RS09405	pyridine nucleotide-disulfide oxidoreductase	
USA300HOU_RS01715-MONOMER	USA300HOU_RS01715	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS02160-MONOMER	USA300HOU_RS02160	superantigen-like protein SSL10	CCI-EXTRACELLULAR-GP
CPLX1OEB-15	USA300HOU_RS06040 // USA300HOU_RS06045	carbamoyl-phosphate synthase	
USA300HOU_RS11560-MONOMER	USA300HOU_RS11560	EVE domain-containing protein	
USA300HOU_RS12290-MONOMER	USA300HOU_RS12290	molybdenum cofactor guanylyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05655-MONOMER	USA300HOU_RS05655	hypothetical protein	
USA300HOU_RS01160-MONOMER	USA300HOU_RS01160	hypothetical protein	
USA300HOU_RS10995-MONOMER	USA300HOU_RS10995	LacI family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS08340-MONOMER	USA300HOU_RS08340	phosphoenolpyruvate synthetase regulatory protein	CCI-CYTOSOL-GP
USA300HOU_RS06270-MONOMER	USA300HOU_RS06270	succinyl-CoA ligase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS05090-MONOMER	USA300HOU_RS05090	competence protein ComK	CCI-CYTOSOL-GP
USA300HOU_RS07295-MONOMER	USA300HOU_RS07295	thymidylate synthase	CCI-CYTOSOL-GP
USA300HOU_RS08770-MONOMER	USA300HOU_RS08770	rod shape-determining protein MreC	
USA300HOU_RS05875-MONOMER	USA300HOU_RS05875	hypothetical protein	
USA300HOU_RS02260-MONOMER	USA300HOU_RS02260	hypothetical protein	
USA300HOU_RS13415-MONOMER	USA300HOU_RS13415	DUF1433 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14790-MONOMER	USA300HOU_RS14790	IS6-like element IS257 family transposase	CCI-CYTOSOL-GP
USA300HOU_RS07685-MONOMER	USA300HOU_RS07685	minor structural protein	CCI-CYTOSOL-GP
USA300HOU_RS06680-MONOMER	USA300HOU_RS06680	hypothetical protein	
USA300HOU_RS07915-MONOMER	USA300HOU_RS07915	hypothetical protein	
USA300HOU_RS03210-MONOMER	USA300HOU_RS03210	hypothetical protein	
USA300HOU_RS09650-MONOMER	USA300HOU_RS09650	serine protease SplB	CCI-EXTRACELLULAR-GP
USA300HOU_RS14485-MONOMER	USA300HOU_RS14485	poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein IcaD	CCI-PM-BAC-POS-GP
USA300HOU_RS01960-MONOMER	USA300HOU_RS01960	integrase	
USA300HOU_RS05030-MONOMER	USA300HOU_RS05030	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00905-MONOMER	USA300HOU_RS00905	DUF4242 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS14700-MONOMER	USA300HOU_RS14700	nucleoid occlusion protein	CCI-CYTOSOL-GP
USA300HOU_RS02030-MONOMER	USA300HOU_RS02030	L-cystine transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS09345-MONOMER	USA300HOU_RS09345	TIGR01212 family radical SAM protein	CCI-CYTOSOL-GP
USA300HOU_RS05385-MONOMER	USA300HOU_RS05385	class I SAM-dependent rRNA methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04240-MONOMER	USA300HOU_RS04240	hypothetical protein	
USA300HOU_RS00140-MONOMER	USA300HOU_RS00140	IS6 family transposase IS431mec	CCI-CYTOSOL-GP
USA300HOU_RS02895-MONOMER	USA300HOU_RS02895	Molecular chaperone Hsp31 and glyoxalase 3	CCI-CYTOSOL-GP
USA300HOU_RS08600-MONOMER	USA300HOU_RS08600	DUF1292 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00220-MONOMER	USA300HOU_RS00220	ATPase AAA	
USA300HOU_RS05715-MONOMER	USA300HOU_RS05715	DNA polymerase/3'-5' exonuclease PolX	CCI-CYTOSOL-GP
USA300HOU_RS15380-MONOMER	USA300HOU_RS15380	hypothetical protein	
USA300HOU_RS15555-MONOMER	USA300HOU_RS15555	hypothetical protein	
USA300HOU_RS09905-MONOMER	USA300HOU_RS09905	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS05940-MONOMER	USA300HOU_RS05940	phospho-N-acetylmuramoyl-pentapeptide- transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS04055-MONOMER	USA300HOU_RS04055	comf operon protein 1	CCI-CYTOSOL-GP
USA300HOU_RS01140-MONOMER	USA300HOU_RS01140	sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS02505-MONOMER	USA300HOU_RS02505	methionine--tRNA ligase	CCI-CYTOSOL-GP
