Reaction	Complexes
ETOHtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
FACOAL100t2pp	ALW85_RS12250-MONOMER OR ALW85_RS08650-MONOMER
FACOAL120t2pp	ALW85_RS08650-MONOMER OR ALW85_RS12250-MONOMER
FACOAL140	ALW85_RS05840-MONOMER_mod_mg2(1) OR ALW85_RS12250-MONOMER OR ALW85_RS11680-MONOMER OR ALW85_RS08090-MONOMER
FACOAL140t2pp	ALW85_RS08650-MONOMER OR ALW85_RS12250-MONOMER
FACOAL160	ALW85_RS05840-MONOMER_mod_mg2(1) OR ALW85_RS12250-MONOMER OR ALW85_RS11680-MONOMER OR ALW85_RS08090-MONOMER
FACOAL160t2pp	ALW85_RS12250-MONOMER OR ALW85_RS08650-MONOMER
FACOAL180	ALW85_RS05840-MONOMER_mod_mg2(1) OR ALW85_RS12250-MONOMER OR ALW85_RS11680-MONOMER OR ALW85_RS08090-MONOMER
FACOAL180t2pp	ALW85_RS08650-MONOMER OR ALW85_RS12250-MONOMER
FACOAL80t2pp	ALW85_RS12250-MONOMER OR ALW85_RS08650-MONOMER
FADRx2	CPLX_FADRx2-0_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1)
FALDH2	ALW85_RS04745-MONOMER_mod_zn2(1)
FBA	ALW85_RS01710-MONOMER
FBA2	ALW85_RS01710-MONOMER
FBA3	ALW85_RS01710-MONOMER
FBP	ALW85_RS02755-MONOMER_mod_mg2(1)
FCLT	ALW85_RS07720-MONOMER
FE2abcpp	ALW85_RS09740-MONOMER
FE2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
FE3abcpp	CPLX_FE3abcpp-0
FE3tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
FEROpp	ALW85_RS04515-MONOMER
FEex	ALW85_RS03760-MONOMER OR ALW85_RS09295-MONOMER
FEpp	ALW85_RS03760-MONOMER OR ALW85_RS09295-MONOMER
FLVR	ALW85_RS03125-MONOMER OR CPLX_FADRx2-0_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1)
FMETTRS	ALW85_RS10255-MONOMER_mod_mg2(1)_mod_k(1) OR ALW85_RS11335-MONOMER
FMNAT	ALW85_RS05960-MONOMER
FMNRx2	ALW85_RS05235-MONOMER
FOLR2	ALW85_RS02990-MONOMER
FORt2pp	ALW85_RS03555-MONOMER
FORtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
FORtppi	ALW85_RS03555-MONOMER
FRD2	CPLX_FRD2-0
FRD7	CPLX_SUCDi-0
FRTT	ALW85_RS06025-MONOMER_mod_mg2(1) OR ALW85_RS06025-MONOMER_mod_mn2(1)
FRUpts2pp	CPLX_MANptspp-0
FTHFLi	ALW85_RS01910-MONOMER
FUM	ALW85_RS11935-MONOMER
FUMt2_2pp	ALW85_RS11180-MONOMER
G1PACT	ALW85_RS01080-MONOMER_mod_mg2(1)
G1PTT	ALW85_RS03540-MONOMER_mod_mg2(1)
G2PP	ALW85_RS10165-MONOMER_mod_mg2(1)
G3PAT120	ALW85_RS08585-MONOMER
G3PAT140	ALW85_RS08585-MONOMER
G3PAT160	ALW85_RS08585-MONOMER
G3PAT161	ALW85_RS08585-MONOMER
G3PAT180	ALW85_RS08585-MONOMER
G3PAT181	ALW85_RS08585-MONOMER
G3PCabcpp	ALW85_RS09740-MONOMER
G3PD2	ALW85_RS08910-MONOMER_mod_mn2(1) OR ALW85_RS08910-MONOMER_mod_cobalt2(1) OR ALW85_RS08910-MONOMER_mod_mg2(1)
G3PEabcpp	ALW85_RS09740-MONOMER
G3PGabcpp	ALW85_RS09740-MONOMER
G3PIabcpp	ALW85_RS09740-MONOMER
G3PSabcpp	ALW85_RS09740-MONOMER
G5SD	ALW85_RS11265-MONOMER
G6PDH2r	ALW85_RS02105-MONOMER
GALURtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
GALabcpp	ALW85_RS07580-MONOMER
GAPD	ALW85_RS01725-MONOMER
GARFT	ALW85_RS00485-MONOMER
GCALDD	ALW85_RS10410-MONOMER
GCCa	CPLX_GCCa-0
GCCb	CPLX_GCCa-0
GCCc	CPLX_GCCa-0
GDPDPK	ALW85_RS01940-MONOMER_mod_mn2(1)
GDPTPDP	ALW85_RS01940-MONOMER_mod_mn2(1)
GF6PTA	CPLX_GF6PTA-0
GHMT2r	ALW85_RS07500-MONOMER
GK1	ALW85_RS11780-MONOMER_mod_mg2(1)
GK2	ALW85_RS11780-MONOMER_mod_mg2(1)
GLBRAN2	ALW85_RS10570-MONOMER
GLCDpp	ALW85_RS10395-MONOMER_mod_ca2(1)_mod_pqq(1)
GLCS1	ALW85_RS11830-MONOMER
GLCURtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
GLCabcpp	ALW85_RS07580-MONOMER
GLCptspp	ALW85_RS11935-MONOMER
GLGC	ALW85_RS10575-MONOMER_mod_mg2(1)
GLNS	ALW85_RS02665-MONOMER_mod_mn2(1)
GLNTRS	ALW85_RS12285-MONOMER OR ALW85_RS12320-MONOMER
GLNabcpp	ALW85_RS11725-MONOMER
GLU5K	ALW85_RS06715-MONOMER_mod_mg2(1)
GLUDy	ALW85_RS04490-MONOMER OR ALW85_RS08435-MONOMER
GLUPRT	ALW85_RS03650-MONOMER_mod_mg2(1)
GLUR	ALW85_RS02370-MONOMER
GLUSy	ALW85_RS04490-MONOMER
GLUTRR	ALW85_RS09960-MONOMER
GLUTRS	ALW85_RS08480-MONOMER_mod_mg2(1)_mod_zn2(1)
GLUabcpp	ALW85_RS09885-MONOMER
GLUt2rpp	ALW85_RS11180-MONOMER
GLYBabcpp	ALW85_RS03035-MONOMER
GLYBt2pp	ALW85_RS00550-MONOMER
GLYC2Pabcpp	ALW85_RS09740-MONOMER
GLYC3Pabcpp	ALW85_RS09740-MONOMER
GLYCL	ALW85_RS04040-MONOMER OR ALW85_RS11260-MONOMER OR ALW85_RS12095-MONOMER OR CPLX_GCCa-0 OR ALW85_RS03210-MONOMER
GLYCTO1	CPLX_GLYCTO1-0
GLYCTO3	CPLX_GLYCTO3-0
GLYCTO4	CPLX_GLYCTO3-0
GLYCtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
GLYK	ALW85_RS01085-MONOMER
GLYOX	ALW85_RS00730-MONOMER_mod_zn2(1)
