Modified_enzyme	Core_enzyme	Modifications	Source
CPLX-513_mod_4fe4s(1)	CPLX-513	4fe4s(1)	iJL965
CPLX-518_mod_mn2(1)	CPLX-518	mn2(1)	iJL965
CPLX-519_mod_mn2(1)	CPLX-519	mn2(1)	iJL965
CPLX-520_mod_mn2(1)	CPLX-520	mn2(1)	iJL965
CPLX-523_mod_pydx5p(1)	CPLX-523	pydx5p(1)	iJL965
CPLX-524_mod_mn2(1)	CPLX-524	mn2(1)	iJL965
CPLX-528_mod_mg2(1)	CPLX-528	mg2(1)	iJL965
CPLX-529_mod_mg2(1)	CPLX-529	mg2(1)	iJL965
CPLX-531_mod_nad(1)	CPLX-531	nad(1)	iJL965
CPLX-539_mod_zn2(1)	CPLX-539	zn2(1)	iJL965
CPLX-540_mod_pyr(1)	CPLX-540	pyr(1)	iJL965
Asr1_CPLX_mod_4fe4s(1)	Asr1_CPLX	4fe4s(1)	iJL965
CPLX-559_mod_mg2(2)_mod_k(1)	CPLX-559	mg2(2) AND k(1)	iJL965
IleS_mono_mod_zn2(1)	IleS_mono	zn2(1)	iJL965
CPLX-562_mod_mn2(1)	CPLX-562	mn2(1)	iJL965
CysS_mono_mod_zn2(1)	CysS_mono	zn2(1)	iJL965
CysSII_mono_mod_zn2(1)	CysSII_mono	zn2(1)	iJL965
Lys_RS_dim_mod_mg2(6)	Lys_RS_dim	mg2(6)	iJL965
AlaS_mono_mod_zn2(1)	AlaS_mono	zn2(1)	iJL965
Thr_RS_dim_mod_zn2(2)	Thr_RS_dim	zn2(2)	iJL965
Phe_RS_tetra_mod_mg2(2)	Phe_RS_tetra	mg2(2)	iJL965
Met_RS_dim_mod_zn2(2)	Met_RS_dim	zn2(2)	iJL965
MiaA_mono_mod_mg2(1)	MiaA_mono	mg2(1)	iJL965
MiaB_mono_mod_4fe4s(2)	MiaB_mono	4fe4s(2)	iJL965
TadA_dim_mod_zn2(2)	TadA_dim	zn2(2)	iJL965
MtaB_mono_mod_4fe4s(2)	MtaB_mono	4fe4s(2)	iJL965
TsaEBD_CPLX_mod_fe2(1)	TsaEBD_CPLX	fe2(1)	iJL965
TrmB_dim_mod_k(1)	TrmB_dim	k(1)	iJL965
Tgt_hex_mod_zn2(6)	Tgt_hex	zn2(6)	iJL965
QueG_mono_mod_4fe4s(2)_mod_adocbl(1)	QueG_mono	4fe4s(2) AND adocbl(1)	iJL965
QueGII_mono_mod_4fe4s(2)_mod_adocbl(1)	QueGII_mono	4fe4s(2) AND adocbl(1)	iJL965
CLJU_c01520_mono_mod_mg2(1)	CLJU_c01520_mono	mg2(1)	iJL965
CLJU_c11280_mono_mod_mg2(1)	CLJU_c11280_mono	mg2(1)	iJL965
DnaJ_dim_mod_zn2(4)	DnaJ_dim	zn2(4)	iJL965
DnaJII_dim_mod_zn2(4)	DnaJII_dim	zn2(4)	iJL965
RnmV_mono_mod_mg2(1)	RnmV_mono	mg2(1)	iJL965
DusI_mono_mod_fad(1)	DusI_mono	fad(1)	iJL965
DusII_mono_mod_fad(1)	DusII_mono	fad(1)	iJL965
RlmN_mono_mod_4fe4s(1)	RlmN_mono	4fe4s(1)	iJL965
Def_mono_mod_fe2(1)	Def_mono	fe2(1)	iJL965
DefII_mono_mod_fe2(1)	DefII_mono	fe2(1)	iJL965
DefIII_mono_mod_fe2(1)	DefIII_mono	fe2(1)	iJL965
DefIV_mono_mod_fe2(1)	DefIV_mono	fe2(1)	iJL965
DefV_mono_mod_fe2(1)	DefV_mono	fe2(1)	iJL965
Map_mono_mod_fe2(2)	Map_mono	fe2(2)	iJL965
MnmEG_cplx_mod_fad(2)_mod_k(2)	MnmEG_cplx	fad(2) AND k(2)	iJL965
IscS_dim_mod_pydx5p(2)	IscS_dim	pydx5p(2)	iJL965
IscSII_dim_mod_pydx5p(2)	IscSII_dim	pydx5p(2)	iJL965
RNase_Z_mod_zn2(2)	RNase_Z	zn2(2)	iJL965
MoaA_mono_MoaC_mono_mod_4fe4s(2)_mod_amet(1)	MoaA_mono_MoaC_mono	4fe4s(2) AND amet(1)	iJL965
MobA_mono_mod_mg2(1)	MobA_mono	mg2(1)	iJL965
MoeA_dim_mod_mg2(2)	MoeA_dim	mg2(2)	iJL965
MoeAII_dim_mod_mg2(2)	MoeAII_dim	mg2(2)	iJL965
MoeAIII_dim_mod_mg2(2)	MoeAIII_dim	mg2(2)	iJL965
MoeAIV_dim_mod_mg2(2)	MoeAIV_dim	mg2(2)	iJL965
NfrA_dim_mod_fmn(2)	NfrA_dim	fmn(2)	iJL965
Transcription_normal_rho_independent_I_mod_mg2(1)	Transcription_normal_rho_independent_I	mg2(1)	iJL965
Transcription_normal_rho_independent_II_mod_mg2(1)	Transcription_normal_rho_independent_II	mg2(1)	iJL965
Transcription_normal_rho_independent_III_mod_mg2(1)	Transcription_normal_rho_independent_III	mg2(1)	iJL965
Transcription_normal_rho_dependent_I_mod_mg2(1)	Transcription_normal_rho_dependent_I	mg2(1)	iJL965
Transcription_normal_rho_dependent_II_mod_mg2(1)	Transcription_normal_rho_dependent_II	mg2(1)	iJL965
Transcription_normal_rho_dependent_III_mod_mg2(1)	Transcription_normal_rho_dependent_III	mg2(1)	iJL965
Transcription_stable_rho_independent_I_mod_mg2(1)	Transcription_stable_rho_independent_I	mg2(1)	iJL965
