Reaction	Complexes
METAT	LLMG_RS10795-MONOMER_mod_k(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_k(4)_mod_ca2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_nh4(4)_mod_ca2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_tl(4)_mod_ca2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_cs(4)_mod_ca2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_LI(4)_mod_ca2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_mg2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_mn2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_cobalt2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_zn2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_cd2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_ni2(1) OR LLMG_RS10795-MONOMER_mod_na1(4)_mod_ca2(1)
METB1	LLMG_RS10955-MONOMER
METDabc	CPLX_METabc-0 OR CPLX_METabc-2 OR CPLX_METabc-1 OR CPLX_METabc-3
METGL	LLMG_RS08915-MONOMER_mod_pydx5p(1)
METTRS_1	LLMG_RS08860-MONOMER
METabc	CPLX_METabc-0 OR CPLX_METabc-1 OR CPLX_METabc-2 OR CPLX_METabc-3
MEVK1	LLMG_RS02170-MONOMER
MHPGLUT	LLMG_RS06190-MONOMER_mod_zn2(1)
MI1PP	LLMG_RS02625-MONOMER_mod_mg2(1)
MNLpts	CPLX_MNLpts-0
MNNH	LLMG_RS04395-MONOMER
MNabc	CPLX_MNabc-0
MPL	LLMG_RS03850-MONOMER OR LLMG_RS02310-MONOMER
MTAN	LLMG_RS10345-MONOMER
MTHFC	LLMG_RS08520-MONOMER
MTHFD	LLMG_RS08520-MONOMER
MTHFR3	LLMG_RS06195-MONOMER_mod_fad(1)
NADH4	LLMG_RS08720-MONOMER OR LLMG_RS08715-MONOMER_mod_mg2(1)_mod_cu(1)_mod_fad(1)
NADHPO	LLMG_RS02085-MONOMER
NADK	LLMG_RS01965-MONOMER_mod_mg2(1)
NADS1	LLMG_RS07415-MONOMER_mod_mg2(1) OR LLMG_RS07415-MONOMER_mod_mn2(1)
NAPRT	LLMG_RS07425-MONOMER
NDPK1	LLMG_RS05685-MONOMER_mod_mg2(1)_mod_k(1) OR LLMG_RS05685-MONOMER_mod_mn2(1)_mod_k(1)
NDPK3	LLMG_RS05685-MONOMER_mod_mg2(1)_mod_k(1) OR LLMG_RS05685-MONOMER_mod_mn2(1)_mod_k(1)
NH4t	LLMG_RS04645-MONOMER
NMNAT	LLMG_RS01240-MONOMER OR LLMG_RS07435-MONOMER_mod_mg2(1)
NMNP	LLMG_RS08645-MONOMER
NNAM	LLMG_RS01445-MONOMER
NNATr	LLMG_RS01240-MONOMER OR LLMG_RS07435-MONOMER_mod_mg2(1)
NOX	LLMG_RS08890-MONOMER OR LLMG_RS02085-MONOMER
NOX2	LLMG_RS02085-MONOMER OR LLMG_RS08890-MONOMER
NPHS	LLMG_RS09170-MONOMER_mod_hco3(1)
OCBT_1	LLMG_RS11590-MONOMER OR LLMG_RS08815-MONOMER
OCDMAT8	LLMG_RS02820-MONOMER
OCMAT3	LLMG_RS02820-MONOMER
OHPBAT	LLMG_RS02940-MONOMER_mod_pydx5p(1)
OIVD1r	CPLX_OIVD1r-0
