Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2
B488_RS06350	B488_RS06350	1416303	1417115	B488_RS06350-MONOMER	B488_13050
B488_RS01700	B488_RS01700	394766	395275	B488_RS01700-MONOMER	B488_03430
B488_RS00570	B488_RS00570	134088	135207	B488_RS00570-MONOMER	B488_01140
B488_RS00960	B488_RS00960	232942	233154	B488_RS00960-MONOMER	B488_01940
B488_RS04995	B488_RS04995	1126069	1126971	B488_RS04995-MONOMER	B488_10290
B488_RS00225	B488_RS00225	57524	58345	B488_RS00225-MONOMER	B488_00450
B488_RS02075	B488_RS02075	482595	483128	B488_RS02075-MONOMER	B488_04250
B488_RS05280	B488_RS05280	1181415	1181891	B488_RS05280-MONOMER	B488_10850
B488_RS02505	B488_RS02505	561761	562474	B488_RS02505-MONOMER	B488_05190
B488_RS06800	B488_RS06800	536205	536639	B488_RS06800-MONOMER	
B488_RS00535	B488_RS00535	127518	127593	B488_RS00535-tRNA	B488_13810
B488_RS01125	B488_RS01125	262521	263084	B488_RS01125-MONOMER	B488_02280
