Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS07445-MONOMER	aliphatic sulfonate ABC transporter substrate-binding protein	ABAYE_RS07445	CCO-MEMBRANE
ABAYE_RS03840-MONOMER	DUF488 domain-containing protein	ABAYE_RS03840	CCI-CYTOSOL-GN
ABAYE_RS01730-MONOMER	hypothetical protein	ABAYE_RS01730	
ABAYE_RS12060-MONOMER	hypothetical protein	ABAYE_RS12060	
ABAYE_RS13935-MONOMER	sulfate adenylyltransferase subunit CysD	ABAYE_RS13935	CCI-CYTOSOL-GN
ABAYE_RS06160-MONOMER	peptidase C39	ABAYE_RS06160	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS09220-MONOMER	fumarylacetoacetate hydrolase	ABAYE_RS09220	
ABAYE_RS16265-MONOMER	Fe-S assembly protein IscX	ABAYE_RS16265	
ABAYE_RS10205-MONOMER	2'-5' RNA ligase	ABAYE_RS10205	CCI-CYTOSOL-GN
ABAYE_RS17540-MONOMER	hypothetical protein	ABAYE_RS17540	CCI-PM-BAC-NEG-GN
ABAYE_RS09840-MONOMER	hypothetical protein	ABAYE_RS09840	
ABAYE_RS06525-MONOMER	cold-shock protein	ABAYE_RS06525	CCI-CYTOSOL-GN
ABAYE_RS13785-MONOMER	5-formyltetrahydrofolate cyclo-ligase	ABAYE_RS13785	CCI-CYTOSOL-GN
ABAYE_RS03865-MONOMER	efflux RND transporter periplasmic adaptor subunit	ABAYE_RS03865	CCI-PM-BAC-NEG-GN
ABAYE_RS02405-MONOMER	shikimate dehydrogenase	ABAYE_RS02405	CCI-CYTOSOL-GN
ABAYE_RS15265-MONOMER	hypothetical protein	ABAYE_RS15265	CCI-CYTOSOL-GN
ABAYE_RS19020-MONOMER	YciK family oxidoreductase	ABAYE_RS19020	CCI-CYTOSOL-GN
ABAYE_RS11765-MONOMER	4-carboxymuconolactone decarboxylase	ABAYE_RS11765	CCI-CYTOSOL-GN
ABAYE_RS03885-MONOMER	chemotaxis protein CheW	ABAYE_RS03885	CCI-CYTOSOL-GN
ABAYE_RS05980-MONOMER	DUF3015 domain-containing protein	ABAYE_RS05980	
ABAYE_RS06215-MONOMER	elongation factor Ts	ABAYE_RS06215	CCI-CYTOSOL-GN
ABAYE_RS10325-MONOMER	hypothetical protein	ABAYE_RS10325	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS14780-MONOMER	ferredoxin	ABAYE_RS14780	
ABAYE_RS15420-MONOMER	MFS transporter	ABAYE_RS15420	CCI-PM-BAC-NEG-GN
ABAYE_RS13105-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS13105	
ABAYE_RS17280-MONOMER	hypothetical protein	ABAYE_RS17280	CCI-OUTER-MEM-GN
ABAYE_RS08740-MONOMER	3-dehydroshikimate dehydratase	ABAYE_RS08740	
ABAYE_RS10860-MONOMER	hypothetical protein	ABAYE_RS10860	CCI-PM-BAC-NEG-GN
ABAYE_RS05545-MONOMER	HTH-type transcriptional repressor FabR	ABAYE_RS05545	CCI-CYTOSOL-GN
ABAYE_RS13515-MONOMER	DUF4258 domain-containing protein	ABAYE_RS13515	
ABAYE_RS01860-MONOMER	hypothetical protein	ABAYE_RS01860	
ABAYE_RS04260-MONOMER	KR domain-containing protein	ABAYE_RS04260	CCI-CYTOSOL-GN
ABAYE_RS17190-MONOMER	DUF1656 domain-containing protein	ABAYE_RS17190	CCI-PM-BAC-NEG-GN
ABAYE_RS10230-MONOMER	hypothetical protein	ABAYE_RS10230	CCI-PM-BAC-NEG-GN
ABAYE_RS07525-MONOMER	DUF2799 domain-containing protein	ABAYE_RS07525	
ABAYE_RS09795-MONOMER	GntP family permease	ABAYE_RS09795	CCI-PM-BAC-NEG-GN
ABAYE_RS12315-MONOMER	hypothetical protein	ABAYE_RS12315	
ABAYE_RS08175-MONOMER	hypothetical protein	ABAYE_RS08175	
ABAYE_RS18245-MONOMER	hypothetical protein	ABAYE_RS18245	CCI-PM-BAC-NEG-GN
CPLX1SOZ-25	sulfate adenylyltransferase	ABAYE_RS13930 // ABAYE_RS13935	
ABAYE_RS14030-MONOMER	TonB-dependent siderophore receptor	ABAYE_RS14030	CCI-OUTER-MEM-GN
ABAYE_RS01235-MONOMER	alpha/beta hydrolase	ABAYE_RS01235	CCI-CYTOSOL-GN
ABAYE_RS02930-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS02930	
ABAYE_RS10415-MONOMER	3'(2'),5'-bisphosphate nucleotidase CysQ	ABAYE_RS10415	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
ABAYE_RS12425-MONOMER	transporter	ABAYE_RS12425	CCO-MEMBRANE
ABAYE_RS14165-MONOMER	alpha/beta hydrolase	ABAYE_RS14165	
ABAYE_RS05675-MONOMER	D-alanyl-D-alanine carboxypeptidase	ABAYE_RS05675	
ABAYE_RS14405-MONOMER	hypothetical protein	ABAYE_RS14405	CCI-CYTOSOL-GN
ABAYE_RS11855-MONOMER	hypothetical protein	ABAYE_RS11855	
ABAYE_RS07455-MONOMER	3-hydroxyacyl-CoA dehydrogenase	ABAYE_RS07455	CCI-CYTOSOL-GN
ABAYE_RS15825-MONOMER	RNase adaptor protein RapZ	ABAYE_RS15825	CCI-CYTOSOL-GN
ABAYE_RS08915-MONOMER	muconolactone delta-isomerase	ABAYE_RS08915	
ABAYE_RS07720-MONOMER	hypothetical protein	ABAYE_RS07720	CCI-CYTOSOL-GN
ABAYE_RS02870-MONOMER	oxidoreductase	ABAYE_RS02870	CCI-CYTOSOL-GN
ABAYE_RS05195-MONOMER	acyl-CoA thioesterase	ABAYE_RS05195	
ABAYE_RS07040-MONOMER	molecular chaperone	ABAYE_RS07040	
ABAYE_RS08260-MONOMER	membrane protein	ABAYE_RS08260	
ABAYE_RS05695-MONOMER	LysM peptidoglycan-binding domain-containing protein	ABAYE_RS05695	CCI-OUTER-MEM-GN
ABAYE_RS19230-MONOMER	undecaprenyl-diphosphatase	ABAYE_RS19230	CCI-PM-BAC-NEG-GN
ABAYE_RS14685-MONOMER	hypothetical protein	ABAYE_RS14685	
ABAYE_RS09720-MONOMER	molybdate ABC transporter permease subunit	ABAYE_RS09720	CCI-PM-BAC-NEG-GN
ABAYE_RS02510-MONOMER	dicarboxylate/amino acid:cation symporter	ABAYE_RS02510	CCI-PM-BAC-NEG-GN
ABAYE_RS16910-MONOMER	CBS domain-containing protein	ABAYE_RS16910	CCI-PM-BAC-NEG-GN
ABAYE_RS17435-MONOMER	acyl-CoA thioesterase	ABAYE_RS17435	CCI-CYTOSOL-GN
ABAYE_RS00030-MONOMER	hypothetical protein	ABAYE_RS00030	
ABAYE_RS18650-MONOMER	acyl carrier protein	ABAYE_RS18650	
ABAYE_RS07790-MONOMER	hypothetical protein	ABAYE_RS07790	
ABAYE_RS10620-MONOMER	biopolymer transporter ExbD	ABAYE_RS10620	CCI-PM-BAC-NEG-GN
ABAYE_RS00590-MONOMER	RND transporter	ABAYE_RS00590	CCI-CYTOSOL-GN
ABAYE_RS18565-MONOMER	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	ABAYE_RS18565	CCI-CYTOSOL-GN
ABAYE_RS01000-MONOMER	phosphatidylglycerophosphatase A	ABAYE_RS01000	CCI-PM-BAC-NEG-GN
ABAYE_RS04395-MONOMER	YecA family protein	ABAYE_RS04395	CCI-CYTOSOL-GN
ABAYE_RS13815-MONOMER	iron-sulfur protein	ABAYE_RS13815	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS12700-MONOMER	hypothetical protein	ABAYE_RS12700	CCI-CYTOSOL-GN
ABAYE_RS09650-MONOMER	DNA glycosylase	ABAYE_RS09650	
ABAYE_RS07685-MONOMER	aldehyde dehydrogenase	ABAYE_RS07685	CCI-CYTOSOL-GN
ABAYE_RS19575-MONOMER	GpE family phage tail protein	ABAYE_RS19575	
ABAYE_RS13485-MONOMER	hypothetical protein	ABAYE_RS13485	
ABAYE_RS18740-MONOMER	D-amino acid dehydrogenase small subunit	ABAYE_RS18740	CCI-PM-BAC-NEG-GN
ABAYE_RS18460-MONOMER	ATP synthase subunit gamma	ABAYE_RS18460	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
ABAYE_RS15650-MONOMER	hypothetical protein	ABAYE_RS15650	CCI-OUTER-MEM-GN
ABAYE_RS19565-MONOMER	hypothetical protein	ABAYE_RS19565	
ABAYE_RS00725-MONOMER	hypothetical protein	ABAYE_RS00725	CCI-PM-BAC-NEG-GN
ABAYE_RS12535-MONOMER	hypothetical protein	ABAYE_RS12535	
ABAYE_RS12615-MONOMER	DUF1073 domain-containing protein	ABAYE_RS12615	CCI-CYTOSOL-GN
CPLX1SOZ-13	anthranilate 1,2-dioxygenase	ABAYE_RS09735 // ABAYE_RS09740	
ABAYE_RS13245-MONOMER	dihydroorotase	ABAYE_RS13245	CCI-CYTOSOL-GN
ABAYE_RS08680-MONOMER	cell division protein FtsB	ABAYE_RS08680	CCI-PM-BAC-NEG-GN
ABAYE_RS14515-MONOMER	ATP-dependent dsDNA exonuclease	ABAYE_RS14515	CCI-CYTOSOL-GN
ABAYE_RS01035-MONOMER	hypothetical protein	ABAYE_RS01035	CCI-PM-BAC-NEG-GN
ABAYE_RS09205-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS09205	CCI-CYTOSOL-GN
ABAYE_RS19530-MONOMER	hypothetical protein	ABAYE_RS19530	
ABAYE_RS08820-MONOMER	amidase	ABAYE_RS08820	CCI-CYTOSOL-GN
ABAYE_RS17800-MONOMER	aminoglycoside O-phosphotransferase APH(3')-Ia	ABAYE_RS17800	CCI-PM-BAC-NEG-GN
ABAYE_RS07100-MONOMER	MCE family protein	ABAYE_RS07100	CCO-MEMBRANE
ABAYE_RS14135-MONOMER	MFS transporter	ABAYE_RS14135	CCI-PM-BAC-NEG-GN
ABAYE_RS17135-MONOMER	type II secretion system F family protein	ABAYE_RS17135	CCI-PM-BAC-NEG-GN
ABAYE_RS02985-MONOMER	50S ribosomal protein L13	ABAYE_RS02985	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS04815-MONOMER	amino acid permease	ABAYE_RS04815	CCI-PM-BAC-NEG-GN
ABAYE_RS11920-MONOMER	carbonic anhydrase	ABAYE_RS11920	CCI-CYTOSOL-GN
ABAYE_RS19635-MONOMER	hypothetical protein	ABAYE_RS19635	
ABAYE_RS09060-MONOMER	LysR family transcriptional regulator	ABAYE_RS09060	CCI-CYTOSOL-GN
ABAYE_RS04855-MONOMER	electron transfer flavoprotein subunit alpha	ABAYE_RS04855	
ABAYE_RS15780-MONOMER	50S ribosomal protein L35	ABAYE_RS15780	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS01205-MONOMER	allantoinase PuuE	ABAYE_RS01205	CCI-CYTOSOL-GN
ABAYE_RS19165-MONOMER	MBL fold metallo-hydrolase	ABAYE_RS19165	
ABAYE_RS13415-MONOMER	YecA family protein	ABAYE_RS13415	CCI-CYTOSOL-GN
ABAYE_RS12590-MONOMER	hypothetical protein	ABAYE_RS12590	
ABAYE_RS18985-MONOMER	acyl-CoA desaturase	ABAYE_RS18985	
ABAYE_RS07620-MONOMER	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	ABAYE_RS07620	CCI-CYTOSOL-GN
ABAYE_RS17085-MONOMER	ribosome-binding factor A	ABAYE_RS17085	CCI-CYTOSOL-GN
ABAYE_RS07340-MONOMER	cytochrome o ubiquinol oxidase subunit IV	ABAYE_RS07340	CCI-PM-BAC-NEG-GN
ABAYE_RS09420-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS09420	CCI-CYTOSOL-GN
ABAYE_RS09585-MONOMER	fimbrial protein	ABAYE_RS09585	CCI-EXTRACELLULAR-GN // CCI-PILUS-GN
ABAYE_RS14645-MONOMER	arginyl-tRNA-protein transferase	ABAYE_RS14645	CCI-CYTOSOL-GN
ABAYE_RS00805-MONOMER	dienelactone hydrolase family protein	ABAYE_RS00805	CCI-CYTOSOL-GN
ABAYE_RS04175-MONOMER	SPFH/Band 7/PHB domain protein	ABAYE_RS04175	CCO-MEMBRANE
ABAYE_RS06775-MONOMER	hypothetical protein	ABAYE_RS06775	
ABAYE_RS00175-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS00175	CCI-CYTOSOL-GN
ABAYE_RS01655-MONOMER	transcriptional regulator	ABAYE_RS01655	
ABAYE_RS03925-MONOMER	DUF1853 domain-containing protein	ABAYE_RS03925	
ABAYE_RS04290-MONOMER	AdeA/AdeI family multidrug efflux RND transporter periplasmic adaptor subunit	ABAYE_RS04290	CCO-MEMBRANE
ABAYE_RS03415-MONOMER	terminase	ABAYE_RS03415	
ABAYE_RS17455-MONOMER	hydroxymethylbilane synthase	ABAYE_RS17455	CCI-CYTOSOL-GN
ABAYE_RS11875-MONOMER	cold-shock protein	ABAYE_RS11875	CCI-CYTOSOL-GN
ABAYE_RS04770-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS04770	CCI-CYTOSOL-GN
ABAYE_RS09375-MONOMER	AraC family transcriptional regulator	ABAYE_RS09375	CCI-CYTOSOL-GN
ABAYE_RS11685-MONOMER	enoyl-CoA hydratase	ABAYE_RS11685	CCI-CYTOSOL-GN
ABAYE_RS12515-MONOMER	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	ABAYE_RS12515	CCI-CYTOSOL-GN
ABAYE_RS05535-MONOMER	RNA polymerase-associated protein RapA	ABAYE_RS05535	
ABAYE_RS08980-MONOMER	type 1 glutamine amidotransferase domain-containing protein	ABAYE_RS08980	
ABAYE_RS16730-MONOMER	catalase peroxidase	ABAYE_RS16730	CCI-CYTOSOL-GN
ABAYE_RS17830-MONOMER	DUF4158 domain-containing protein	ABAYE_RS17830	
ABAYE_RS00450-MONOMER	hypothetical protein	ABAYE_RS00450	
ABAYE_RS06980-MONOMER	polyketide cyclase	ABAYE_RS06980	
CPLX1SOZ-17	glycine--tRNA ligase	ABAYE_RS02355 // ABAYE_RS02360	
ABAYE_RS04160-MONOMER	2-methylaconitate cis-trans isomerase PrpF	ABAYE_RS04160	CCI-CYTOSOL-GN
ABAYE_RS18880-MONOMER	DegT/DnrJ/EryC1/StrS aminotransferase family protein	ABAYE_RS18880	CCI-CYTOSOL-GN
ABAYE_RS11610-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS11610	CCI-CYTOSOL-GN
ABAYE_RS03690-MONOMER	acetyl-CoA acetyltransferase	ABAYE_RS03690	CCI-CYTOSOL-GN
ABAYE_RS13895-MONOMER	copper resistance protein NlpE	ABAYE_RS13895	CCI-OUTER-MEM-GN
ABAYE_RS17490-MONOMER	EamA family transporter	ABAYE_RS17490	CCO-MEMBRANE
ABAYE_RS14240-MONOMER	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	ABAYE_RS14240	
ABAYE_RS10805-MONOMER	hypothetical protein	ABAYE_RS10805	CCO-MEMBRANE
ABAYE_RS10260-MONOMER	MFS transporter	ABAYE_RS10260	CCI-PM-BAC-NEG-GN
ABAYE_RS12985-MONOMER	hypothetical protein	ABAYE_RS12985	CCI-PM-BAC-NEG-GN
ABAYE_RS02320-MONOMER	hypothetical protein	ABAYE_RS02320	CCI-EXTRACELLULAR-GN
ABAYE_RS00310-MONOMER	hypothetical protein	ABAYE_RS00310	
ABAYE_RS09335-MONOMER	endonuclease/exonuclease/phosphatase family protein	ABAYE_RS09335	
ABAYE_RS14705-MONOMER	hypothetical protein	ABAYE_RS14705	
ABAYE_RS16855-MONOMER	aminoacetone oxidase family FAD-binding enzyme	ABAYE_RS16855	CCI-CYTOSOL-GN
ABAYE_RS04540-MONOMER	hypothetical protein	ABAYE_RS04540	CCI-CYTOSOL-GN
ABAYE_RS05955-MONOMER	4'-phosphopantetheinyl transferase	ABAYE_RS05955	CCI-CYTOSOL-GN
ABAYE_RS04560-MONOMER	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	ABAYE_RS04560	CCI-PM-BAC-NEG-GN
ABAYE_RS07830-MONOMER	hypothetical protein	ABAYE_RS07830	
ABAYE_RS00915-MONOMER	acyltransferase	ABAYE_RS00915	CCI-PM-BAC-NEG-GN
ABAYE_RS02290-MONOMER	succinylglutamate-semialdehyde dehydrogenase	ABAYE_RS02290	CCI-CYTOSOL-GN
ABAYE_RS20010-MONOMER	hypothetical protein	ABAYE_RS20010	
ABAYE_RS15540-MONOMER	gamma carbonic anhydrase family protein	ABAYE_RS15540	CCI-CYTOSOL-GN
ABAYE_RS01880-MONOMER	cation transporter	ABAYE_RS01880	CCI-PM-BAC-NEG-GN
ABAYE_RS03625-MONOMER	SPOR domain-containing protein	ABAYE_RS03625	
ABAYE_RS05380-MONOMER	hypothetical protein	ABAYE_RS05380	CCI-PM-BAC-NEG-GN
ABAYE_RS15880-MONOMER	cysteine synthase CysM	ABAYE_RS15880	CCI-CYTOSOL-GN
ABAYE_RS13535-MONOMER	hypothetical protein	ABAYE_RS13535	
ABAYE_RS17325-MONOMER	hypothetical protein	ABAYE_RS17325	CCI-PM-BAC-NEG-GN
ABAYE_RS09675-MONOMER	pyrroloquinoline quinone biosynthesis protein PqqD	ABAYE_RS09675	CCI-CYTOSOL-GN
ABAYE_RS11290-MONOMER	malonate transporter subunit MadL	ABAYE_RS11290	CCI-PM-BAC-NEG-GN
ABAYE_RS04945-MONOMER	signal peptide peptidase SppA	ABAYE_RS04945	CCI-PM-BAC-NEG-GN
ABAYE_RS08460-MONOMER	DUF2750 domain-containing protein	ABAYE_RS08460	CCI-PM-BAC-NEG-GN
ABAYE_RS14485-MONOMER	FAD-dependent oxidoreductase	ABAYE_RS14485	CCI-PM-BAC-NEG-GN
ABAYE_RS03200-MONOMER	hypothetical protein	ABAYE_RS03200	
ABAYE_RS02940-MONOMER	KR domain-containing protein	ABAYE_RS02940	CCI-CYTOSOL-GN
ABAYE_RS12290-MONOMER	allophanate hydrolase	ABAYE_RS12290	CCI-CYTOSOL-GN
ABAYE_RS00285-MONOMER	type II toxin-antitoxin system RelB/DinJ family antitoxin	ABAYE_RS00285	CCI-CYTOSOL-GN
ABAYE_RS08945-MONOMER	MFS transporter	ABAYE_RS08945	CCI-PM-BAC-NEG-GN
ABAYE_RS07840-MONOMER	N-acetyltransferase	ABAYE_RS07840	
ABAYE_RS03635-MONOMER	MBL fold metallo-hydrolase	ABAYE_RS03635	CCI-CYTOSOL-GN
ABAYE_RS04820-MONOMER	hypothetical protein	ABAYE_RS04820	
ABAYE_RS18440-MONOMER	glutathione peroxidase	ABAYE_RS18440	
ABAYE_RS18855-MONOMER	phosphomannomutase/phosphoglucomutase	ABAYE_RS18855	CCI-CYTOSOL-GN
ABAYE_RS17645-MONOMER	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ABAYE_RS17645	CCI-CYTOSOL-GN
ABAYE_RS16605-MONOMER	hypothetical protein	ABAYE_RS16605	
ABAYE_RS08505-MONOMER	cytochrome d ubiquinol oxidase subunit II	ABAYE_RS08505	CCI-PM-BAC-NEG-GN
ABAYE_RS16325-MONOMER	phosphogluconate dehydratase	ABAYE_RS16325	CCI-CYTOSOL-GN
ABAYE_RS00090-MONOMER	hypothetical protein	ABAYE_RS00090	
ABAYE_RS00870-MONOMER	DUF523 domain-containing protein	ABAYE_RS00870	
ABAYE_RS05230-MONOMER	DNA repair protein RecO	ABAYE_RS05230	CCI-CYTOSOL-GN
ABAYE_RS16000-MONOMER	hypothetical protein	ABAYE_RS16000	CCI-PM-BAC-NEG-GN
ABAYE_RS08230-MONOMER	ribosome-recycling factor	ABAYE_RS08230	CCI-CYTOSOL-GN
ABAYE_RS15785-MONOMER	MFS transporter	ABAYE_RS15785	CCI-PM-BAC-NEG-GN
ABAYE_RS18000-MONOMER	IS4 family transposase	ABAYE_RS18000	
ABAYE_RS07175-MONOMER	hypothetical protein	ABAYE_RS07175	
ABAYE_RS15360-MONOMER	LysE family translocator	ABAYE_RS15360	CCI-PM-BAC-NEG-GN
ABAYE_RS01845-MONOMER	energy-dependent translational throttle protein EttA	ABAYE_RS01845	CCI-CYTOSOL-GN
ABAYE_RS18795-MONOMER	DUF4126 domain-containing protein	ABAYE_RS18795	CCI-PM-BAC-NEG-GN
ABAYE_RS02950-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS02950	CCI-CYTOSOL-GN
ABAYE_RS04585-MONOMER	alkaline phosphatase	ABAYE_RS04585	CCI-EXTRACELLULAR-GN
ABAYE_RS12285-MONOMER	ATP-grasp domain-containing protein	ABAYE_RS12285	CCI-CYTOSOL-GN
ABAYE_RS18820-MONOMER	methylisocitrate lyase	ABAYE_RS18820	CCI-CYTOSOL-GN
ABAYE_RS06740-MONOMER	hypothetical protein	ABAYE_RS06740	
ABAYE_RS07470-MONOMER	flavin reductase	ABAYE_RS07470	
ABAYE_RS19270-MONOMER	GlsB/YeaQ/YmgE family stress response membrane protein	ABAYE_RS19270	CCI-PM-BAC-NEG-GN
ABAYE_RS18175-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS18175	CCI-CYTOSOL-GN
ABAYE_RS00655-MONOMER	membrane protein	ABAYE_RS00655	CCI-OUTER-MEM-GN
ABAYE_RS11870-MONOMER	hypothetical protein	ABAYE_RS11870	
ABAYE_RS08445-MONOMER	monothiol glutaredoxin, Grx4 family	ABAYE_RS08445	
ABAYE_RS09955-MONOMER	hypothetical protein	ABAYE_RS09955	CCI-PM-BAC-NEG-GN
ABAYE_RS09735-MONOMER	anthranilate 1,2-dioxygenase large subunit	ABAYE_RS09735	CCI-CYTOSOL-GN
ABAYE_RS12660-MONOMER	hypothetical protein	ABAYE_RS12660	
ABAYE_RS16950-MONOMER	heat-shock protein Hsp33	ABAYE_RS16950	CCI-CYTOSOL-GN
ABAYE_RS14080-MONOMER	transketolase	ABAYE_RS14080	CCI-CYTOSOL-GN
ABAYE_RS05325-MONOMER	glutamate 5-kinase	ABAYE_RS05325	CCI-CYTOSOL-GN
ABAYE_RS15670-MONOMER	DUF4951 domain-containing protein	ABAYE_RS15670	
ABAYE_RS10460-MONOMER	TonB-dependent receptor	ABAYE_RS10460	CCI-OUTER-MEM-GN
ABAYE_RS11830-MONOMER	MFS transporter	ABAYE_RS11830	CCI-PM-BAC-NEG-GN
ABAYE_RS09760-MONOMER	flavin reductase	ABAYE_RS09760	
ABAYE_RS17905-MONOMER	mercury transporter MerC	ABAYE_RS17905	CCI-PM-BAC-NEG-GN
ABAYE_RS13955-MONOMER	SRPBCC domain-containing protein	ABAYE_RS13955	
ABAYE_RS17635-MONOMER	riboflavin synthase	ABAYE_RS17635	CCI-CYTOSOL-GN
ABAYE_RS06840-MONOMER	hypothetical protein	ABAYE_RS06840	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
ABAYE_RS02445-MONOMER	ABC transporter permease	ABAYE_RS02445	CCI-PM-BAC-NEG-GN
ABAYE_RS13995-MONOMER	rhomboid family intramembrane serine protease	ABAYE_RS13995	CCI-PM-BAC-NEG-GN
ABAYE_RS14935-MONOMER	hypothetical protein	ABAYE_RS14935	CCI-CYTOSOL-GN
ABAYE_RS16775-MONOMER	ribonuclease E/G	ABAYE_RS16775	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
ABAYE_RS17730-MONOMER	hypothetical protein	ABAYE_RS17730	
ABAYE_RS03795-MONOMER	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	ABAYE_RS03795	CCI-CYTOSOL-GN
ABAYE_RS03530-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS03530	CCI-CYTOSOL-GN
ABAYE_RS03500-MONOMER	TonB-dependent receptor	ABAYE_RS03500	CCI-OUTER-MEM-GN
ABAYE_RS16625-MONOMER	glycosyl transferase	ABAYE_RS16625	
ABAYE_RS14900-MONOMER	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	ABAYE_RS14900	
ABAYE_RS17305-MONOMER	sodium:proton antiporter	ABAYE_RS17305	CCI-PM-BAC-NEG-GN
ABAYE_RS13310-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS13310	CCI-PM-BAC-NEG-GN
ABAYE_RS07910-MONOMER	leucine efflux protein LeuE	ABAYE_RS07910	CCI-PM-BAC-NEG-GN
ABAYE_RS10625-MONOMER	MotA/TolQ/ExbB proton channel family protein	ABAYE_RS10625	CCI-PM-BAC-NEG-GN
ABAYE_RS08615-MONOMER	3-deoxy-7-phosphoheptulonate synthase	ABAYE_RS08615	
ABAYE_RS18450-MONOMER	ATP synthase epsilon chain	ABAYE_RS18450	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
ABAYE_RS07595-MONOMER	hypothetical protein	ABAYE_RS07595	CCI-CYTOSOL-GN
ABAYE_RS04640-MONOMER	3',5'-cyclic-nucleotide phosphodiesterase	ABAYE_RS04640	CCI-CYTOSOL-GN
ABAYE_RS05580-MONOMER	DUF541 domain-containing protein	ABAYE_RS05580	
ABAYE_RS18140-MONOMER	universal stress protein	ABAYE_RS18140	
ABAYE_RS01435-MONOMER	FMN reductase	ABAYE_RS01435	
ABAYE_RS08815-MONOMER	MarR family transcriptional regulator	ABAYE_RS08815	
ABAYE_RS04615-MONOMER	MFS transporter	ABAYE_RS04615	CCI-PM-BAC-NEG-GN
ABAYE_RS01370-MONOMER	single-stranded-DNA-specific exonuclease RecJ	ABAYE_RS01370	CCI-CYTOSOL-GN
ABAYE_RS06865-MONOMER	DUF815 domain-containing protein	ABAYE_RS06865	CCI-CYTOSOL-GN
ABAYE_RS19715-MONOMER	hypothetical protein	ABAYE_RS19715	
ABAYE_RS06635-MONOMER	ATP-binding protein	ABAYE_RS06635	
ABAYE_RS13185-MONOMER	PaaI family thioesterase	ABAYE_RS13185	
ABAYE_RS04210-MONOMER	DNA-binding response regulator PmrA	ABAYE_RS04210	CCI-CYTOSOL-GN
ABAYE_RS15585-MONOMER	anthranilate synthase component I family protein	ABAYE_RS15585	CCI-CYTOSOL-GN
ABAYE_RS11375-MONOMER	LysR family transcriptional regulator	ABAYE_RS11375	CCI-CYTOSOL-GN
ABAYE_RS01770-MONOMER	3'-5' exonuclease domain-containing protein 2	ABAYE_RS01770	
ABAYE_RS09460-MONOMER	hypothetical protein	ABAYE_RS09460	
ABAYE_RS20030-MONOMER	IS91 family transposase	ABAYE_RS20030	
ABAYE_RS02645-MONOMER	50S ribosomal protein L30	ABAYE_RS02645	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS06125-MONOMER	PDZ domain-containing protein	ABAYE_RS06125	CCO-MEMBRANE
ABAYE_RS18680-MONOMER	MFS transporter	ABAYE_RS18680	CCI-PM-BAC-NEG-GN
ABAYE_RS06845-MONOMER	GatB/YqeY domain-containing protein	ABAYE_RS06845	CCI-CYTOSOL-GN
ABAYE_RS08960-MONOMER	hypothetical protein	ABAYE_RS08960	CCI-CYTOSOL-GN
ABAYE_RS19865-MONOMER	hypothetical protein	ABAYE_RS19865	
ABAYE_RS09400-MONOMER	AdeB family multidrug efflux RND transporter permease subunit	ABAYE_RS09400	CCI-PM-BAC-NEG-GN
ABAYE_RS02230-MONOMER	hypothetical protein	ABAYE_RS02230	CCI-PERI-BAC-GN
ABAYE_RS14505-MONOMER	peroxiredoxin	ABAYE_RS14505	
ABAYE_RS17935-MONOMER	N-acetyltransferase	ABAYE_RS17935	CCI-CYTOSOL-GN
ABAYE_RS14555-MONOMER	hemerythrin	ABAYE_RS14555	CCI-CYTOSOL-GN
