Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS14925-MONOMER	50S ribosomal protein L32	ABAYE_RS14925	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS06475-MONOMER	hypothetical protein	ABAYE_RS06475	
ABAYE_RS16600-MONOMER	zinc-binding alcohol dehydrogenase family protein	ABAYE_RS16600	CCI-CYTOSOL-GN
ABAYE_RS12305-MONOMER	divalent metal cation transporter	ABAYE_RS12305	CCI-PM-BAC-NEG-GN
ABAYE_RS18425-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS18425	CCI-CYTOSOL-GN
ABAYE_RS06660-MONOMER	hypothetical protein	ABAYE_RS06660	CCI-CYTOSOL-GN
ABAYE_RS11550-MONOMER	hypothetical protein	ABAYE_RS11550	
ABAYE_RS19460-MONOMER	trimethoprim-resistant dihydrofolate reductase DfrA10	ABAYE_RS19460	
ABAYE_RS09610-MONOMER	hypothetical protein	ABAYE_RS09610	
ABAYE_RS16350-MONOMER	DUF2846 domain-containing protein	ABAYE_RS16350	
ABAYE_RS04745-MONOMER	hypothetical protein	ABAYE_RS04745	
ABAYE_RS11415-MONOMER	amino acid ABC transporter substrate-binding protein	ABAYE_RS11415	CCI-PERI-BAC-GN
ABAYE_RS12870-MONOMER	DUF1442 domain-containing protein	ABAYE_RS12870	CCI-CYTOSOL-GN
ABAYE_RS06790-MONOMER	hypothetical protein	ABAYE_RS06790	
ABAYE_RS16795-MONOMER	LysR family transcriptional regulator	ABAYE_RS16795	CCI-CYTOSOL-GN
ABAYE_RS06730-MONOMER	hypothetical protein	ABAYE_RS06730	
ABAYE_RS11665-MONOMER	acetyl-CoA C-acyltransferase	ABAYE_RS11665	CCI-CYTOSOL-GN
ABAYE_RS09815-MONOMER	CoA transferase subunit B	ABAYE_RS09815	CCI-CYTOSOL-GN
ABAYE_RS08440-MONOMER	hypothetical protein	ABAYE_RS08440	CCI-CYTOSOL-GN
ABAYE_RS18130-MONOMER	sodium:proton antiporter	ABAYE_RS18130	CCI-PM-BAC-NEG-GN
ABAYE_RS15120-MONOMER	LysE family translocator	ABAYE_RS15120	CCI-PM-BAC-NEG-GN
CPLX1SOZ-12	phenylalanine--tRNA ligase	ABAYE_RS15755 // ABAYE_RS15760	
ABAYE_RS04605-MONOMER	methyltransferase	ABAYE_RS04605	CCI-CYTOSOL-GN
ABAYE_RS01995-MONOMER	hypothetical protein	ABAYE_RS01995	CCO-MEMBRANE
ABAYE_RS01380-MONOMER	peptide chain release factor 2	ABAYE_RS01380	
ABAYE_RS04850-MONOMER	electron transfer flavoprotein subunit beta/FixA family protein	ABAYE_RS04850	CCI-CYTOSOL-GN
ABAYE_RS10145-MONOMER	lipid-A-disaccharide synthase	ABAYE_RS10145	CCI-CYTOSOL-GN
ABAYE_RS10225-MONOMER	PepSY domain-containing protein	ABAYE_RS10225	CCI-PM-BAC-NEG-GN
ABAYE_RS08645-MONOMER	alpha/beta hydrolase	ABAYE_RS08645	CCI-CYTOSOL-GN
ABAYE_RS11580-MONOMER	enoyl-CoA hydratase	ABAYE_RS11580	CCI-CYTOSOL-GN
ABAYE_RS08605-MONOMER	ATP-dependent Clp protease ATP-binding subunit ClpA	ABAYE_RS08605	CCI-CYTOSOL-GN
ABAYE_RS18490-MONOMER	ATP synthase subunit I	ABAYE_RS18490	CCI-PM-BAC-NEG-GN
ABAYE_RS06310-MONOMER	multidrug efflux RND transporter permease subunit	ABAYE_RS06310	CCI-PM-BAC-NEG-GN
ABAYE_RS14580-MONOMER	dUTP diphosphatase	ABAYE_RS14580	CCI-CYTOSOL-GN
ABAYE_RS15310-MONOMER	LysR family transcriptional regulator	ABAYE_RS15310	CCI-CYTOSOL-GN
ABAYE_RS04225-MONOMER	ammonium transporter	ABAYE_RS04225	CCI-PM-BAC-NEG-GN
ABAYE_RS17685-MONOMER	universal stress protein	ABAYE_RS17685	
ABAYE_RS09730-MONOMER	LysR family transcriptional regulator	ABAYE_RS09730	CCI-CYTOSOL-GN
ABAYE_RS14100-MONOMER	LysR family transcriptional regulator	ABAYE_RS14100	CCI-CYTOSOL-GN
ABAYE_RS10870-MONOMER	pilus assembly protein	ABAYE_RS10870	CCI-PERI-BAC-GN
ABAYE_RS12790-MONOMER	GFA family protein	ABAYE_RS12790	CCI-CYTOSOL-GN
ABAYE_RS06220-MONOMER	DUF3465 domain-containing protein	ABAYE_RS06220	CCO-MEMBRANE
ABAYE_RS00220-MONOMER	GlxA family transcriptional regulator	ABAYE_RS00220	
ABAYE_RS03165-MONOMER	JAB domain-containing protein	ABAYE_RS03165	CCI-CYTOSOL-GN
ABAYE_RS08865-MONOMER	transcriptional regulator FeaR	ABAYE_RS08865	CCI-CYTOSOL-GN
ABAYE_RS11370-MONOMER	glutathione-dependent disulfide-bond oxidoreductase	ABAYE_RS11370	CCI-CYTOSOL-GN
ABAYE_RS17225-MONOMER	UvrABC system protein C	ABAYE_RS17225	CCI-CYTOSOL-GN
ABAYE_RS18200-MONOMER	heteromeric transposase endonuclease subunit TnsA	ABAYE_RS18200	CCI-CYTOSOL-GN
ABAYE_RS06860-MONOMER	hypothetical protein	ABAYE_RS06860	CCI-CYTOSOL-GN
ABAYE_RS13950-MONOMER	esterase	ABAYE_RS13950	CCI-CYTOSOL-GN
ABAYE_RS00615-MONOMER	anhydro-N-acetylmuramic acid kinase	ABAYE_RS00615	CCI-CYTOSOL-GN
ABAYE_RS10075-MONOMER	hypothetical protein	ABAYE_RS10075	
ABAYE_RS15565-MONOMER	protein FilD	ABAYE_RS15565	CCI-OUTER-MEM-GN
ABAYE_RS11275-MONOMER	PLP-dependent aminotransferase family protein	ABAYE_RS11275	CCI-CYTOSOL-GN
ABAYE_RS15350-MONOMER	DUF1852 domain-containing protein	ABAYE_RS15350	CCI-CYTOSOL-GN
ABAYE_RS00695-MONOMER	LysR family transcriptional regulator	ABAYE_RS00695	CCI-CYTOSOL-GN
ABAYE_RS09100-MONOMER	hypothetical protein	ABAYE_RS09100	CCI-PM-BAC-NEG-GN
ABAYE_RS10980-MONOMER	amino acid ABC transporter permease	ABAYE_RS10980	CCI-PM-BAC-NEG-GN
