Category	CLJU
Protein Metabolism	CLJU_c13390
Protein Metabolism	CLJU_c26740
Protein Metabolism	CLJU_c00170
Protein Metabolism	CLJU_c34300
Protein Metabolism	CLJU_c02750
Protein Metabolism	CLJU_c34420
Protein Metabolism	CLJU_c34410
Protein Metabolism	CLJU_c10710
Protein Metabolism	CLJU_c08410
Protein Metabolism	CLJU_c40420
Protein Metabolism	CLJU_c01840
Protein Metabolism	CLJU_c06840
Protein Metabolism	CLJU_c03240
Protein Metabolism	CLJU_c13000
Protein Metabolism	CLJU_c03530
Protein Metabolism	CLJU_c14340
Protein Metabolism	CLJU_c05980
