,value
S1064,MONOMER
S1065,MONOMER
S1066,MONOMER
S1069,MONOMER
S1070,MONOMER
S1072,MONOMER
S1073,MONOMER
S1074,MONOMER
S1075,MONOMER
S1076,MONOMER
S1077,MONOMER
S1078,MONOMER
S1079,MONOMER
S1080,MONOMER
S1081,MONOMER
S1082,MONOMER
S1083,MONOMER
S1084,MONOMER
S1085,MONOMER
S1086,MONOMER
S1087,MONOMER
S1088,MONOMER
S1089,MONOMER
S1090,MONOMER
S1091,MONOMER
S1093,MONOMER
S1094,MONOMER
S1096,MONOMER
S1099,tRNA
S1101,MONOMER
S1102,MONOMER
S1103,MONOMER
S1105,MONOMER
S1106,MONOMER
S1107,MONOMER
S1108,MONOMER
S1110,MONOMER
S1111,MONOMER
S1113,MONOMER
S1114,MONOMER
S1115,MONOMER
S1116,MONOMER
S1117,MONOMER
S1118,MONOMER
S1119,MONOMER
S1120,MONOMER
S1123,MONOMER
S1124,MONOMER
S1126,MONOMER
S1127,MONOMER
S1128,MONOMER
S1129,MONOMER
S1130,MONOMER
S1131,MONOMER
S1132,MONOMER
S1133,MONOMER
S1134,MONOMER
S1135,MONOMER
S1136,MONOMER
S1138,MONOMER
S1139,MONOMER
S1140,MONOMER
S1141,MONOMER
S1142,MONOMER
S1143,MONOMER
S1144,MONOMER
S1145,MONOMER
S1146,MONOMER
S1147,MONOMER
S1148,MONOMER
S1149,MONOMER
S1150,MONOMER
S1151,MONOMER
S1152,MONOMER
S1153,MONOMER
S1154,MONOMER
S1155,MONOMER
S1156,MONOMER
S1157,MONOMER
S1159,MONOMER
S1160,MONOMER
S1162,MONOMER
S1163,MONOMER
S1164,MONOMER
S1165,MONOMER
S1168,MONOMER
S1169,MONOMER
S1170,MONOMER
S1171,MONOMER
S1172,MONOMER
S1173,MONOMER
S1174,MONOMER
S1175,MONOMER
S1176,MONOMER
S1177,MONOMER
S1178,MONOMER
S1179,MONOMER
S1180,MONOMER
S1181,MONOMER
S1182,MONOMER
S1183,MONOMER
S1184,MONOMER
S1185,MONOMER
S1187,MONOMER
S1188,MONOMER
S1189,MONOMER
S1190,MONOMER
S1191,MONOMER
S1192,MONOMER
S1193,MONOMER
S1194,MONOMER
S1195,MONOMER
S1196,MONOMER
S1197,MONOMER
S1198,MONOMER
S1199,MONOMER
S1200,MONOMER
S1201,MONOMER
S1202,MONOMER
S1203,MONOMER
S1204,MONOMER
S1205,MONOMER
S1206,MONOMER
S1207,MONOMER
S1208,MONOMER
S1209,MONOMER
S1210,MONOMER
S1211,MONOMER
S1212,MONOMER
S1214,MONOMER
S1215,MONOMER
S1216,MONOMER
S1217,MONOMER
S1218,MONOMER
S1219,MONOMER
S1222,MONOMER
S1223,MONOMER
S1224,MONOMER
S1225,MONOMER
S1226,MONOMER
S1227,MONOMER
S1228,MONOMER
S1229,MONOMER
S1231,MONOMER
S1232,MONOMER
S1233,MONOMER
S1234,MONOMER
S1235,MONOMER
S1236,MONOMER
S1237,MONOMER
S1238,MONOMER
S1239,MONOMER
S1240,MONOMER
S1241,MONOMER
S1242,MONOMER
S1244,MONOMER
S1245,MONOMER
S1246,MONOMER
S1247,MONOMER
S1248,MONOMER
S1249,MONOMER
S1251,MONOMER
S1253,MONOMER
S1254,MONOMER
S1256,MONOMER
S1257,MONOMER
S1258,MONOMER
S1260,MONOMER
S1261,MONOMER
S1262,MONOMER
S1263,MONOMER
S1264,MONOMER
S1265,MONOMER
S1266,MONOMER
S1267,MONOMER
S1268,MONOMER
S1269,MONOMER
S1270,MONOMER
S1271,MONOMER
S1272,MONOMER
S1273,MONOMER
S1276,MONOMER
S1277,MONOMER
S1278,MONOMER
S1279,MONOMER
S1280,MONOMER
S1281,MONOMER
S1282,MONOMER
S1284,MONOMER
S1285,MONOMER
S1286,MONOMER
S1287,MONOMER
S1288,MONOMER
S1289,MONOMER
S1290,MONOMER
S1291,MONOMER
S1292,MONOMER
S1293,MONOMER
S1294,MONOMER
S1295,MONOMER
S1296,MONOMER
S1297,MONOMER
S1298,MONOMER
S1299,MONOMER
S1300,MONOMER
S1301,MONOMER
S1302,MONOMER
S1303,MONOMER
S1304,MONOMER
S1305,MONOMER
S1306,MONOMER
S1307,MONOMER
S1308,MONOMER
S1309,MONOMER
S1310,MONOMER
S1311,MONOMER
S1312,MONOMER
S1313,MONOMER
S1314,MONOMER
S1317,tRNA
S1318,MONOMER
S1319,MONOMER
S1320,MONOMER
S1321,MONOMER
S1322,MONOMER
S1323,MONOMER
S1324,MONOMER
S1325,MONOMER
S1326,MONOMER
S1327,MONOMER
S1328,MONOMER
S1329,MONOMER
S1330,MONOMER
S1331,MONOMER
S1332,MONOMER
S1333,MONOMER
S1334,MONOMER
S1335,MONOMER
S1336,MONOMER
S1337,MONOMER
S1338,MONOMER
S1339,MONOMER
S1340,MONOMER
S1341,MONOMER
S1342,MONOMER
S1343,MONOMER
S1344,MONOMER
S1345,MONOMER
S1346,MONOMER
S1347,MONOMER
S1348,MONOMER
S1349,MONOMER
S1350,MONOMER
S1351,MONOMER
S1352,MONOMER
S1353,MONOMER
S1354,MONOMER
S1355,MONOMER
S1356,MONOMER
S1357,MONOMER
S1358,MONOMER
S1359,MONOMER
S1360,MONOMER
S1361,MONOMER
S1362,MONOMER
S1363,MONOMER
S1364,MONOMER
S1365,MONOMER
S1366,MONOMER
S1367,MONOMER
S1368,MONOMER
S1369,MONOMER
S1370,MONOMER
S1371,MONOMER
S1373,MONOMER
S1374,MONOMER
S1375,MONOMER
S1376,MONOMER
S1377,MONOMER
S1378,MONOMER
S1379,MONOMER
S1380,MONOMER
S1381,MONOMER
S1383,MONOMER
S1384,MONOMER
S1385,MONOMER
S1386,MONOMER
S1387,MONOMER
S1388,MONOMER
S1389,MONOMER
S1390,MONOMER
S1391,MONOMER
S1392,MONOMER
S1393,MONOMER
S1394,MONOMER
S1395,MONOMER
S1397,MONOMER
S1398,MONOMER
S1400,MONOMER
S1401,MONOMER
S1402,MONOMER
S1404,MONOMER
S1405,MONOMER
S1406,MONOMER
S1407,MONOMER
S1409,MONOMER
S1410,MONOMER
S1411,MONOMER
S1412,MONOMER
S1413,MONOMER
S1414,MONOMER
S1415,MONOMER
S1416,MONOMER
S1418,MONOMER
S1421,MONOMER
S1422,MONOMER
S1423,MONOMER
S1424,MONOMER
S1425,MONOMER
S1426,MONOMER
S1427,MONOMER
S1428,MONOMER
S1429,MONOMER
S1430,MONOMER
S1431,MONOMER
S1433,MONOMER
S1434,MONOMER
S1435,MONOMER
S1439,MONOMER
S1440,MONOMER
S1441,MONOMER
S1443,MONOMER
S1446,MONOMER
S1447,MONOMER
S1448,MONOMER
S1449,MONOMER
S1451,MONOMER
S1453,MONOMER
S1454,MONOMER
S1456,MONOMER
S1457,MONOMER
S1458,MONOMER
S1459,MONOMER
S1461,MONOMER
S1462,MONOMER
S1463,MONOMER
S1464,MONOMER
S1465,MONOMER
S1466,MONOMER
S1468,MONOMER
