Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
S2489-MONOMER,Plasma_Membrane,S2489(),Plasma_Membrane,s
CPLX_NADH16pp-0,Plasma_Membrane,S2489(),Plasma_Membrane,s
S2488-MONOMER,Plasma_Membrane,S2488(),Plasma_Membrane,s
CPLX_NADH16pp-0,Plasma_Membrane,S2488(),Plasma_Membrane,s
S2686-MONOMER,Plasma_Membrane,S2686(),Plasma_Membrane,s
S1756-MONOMER,Plasma_Membrane,S1756(),Plasma_Membrane,r
CPLX_NADTRHD-0,Plasma_Membrane,S1756(),Plasma_Membrane,r
S2375-MONOMER,Plasma_Membrane,S2375(),Plasma_Membrane,s
S1401-MONOMER,Plasma_Membrane,S1401(),Plasma_Membrane,s
S4293-MONOMER,Plasma_Membrane,S4293(),Plasma_Membrane,s
S0190-MONOMER,Plasma_Membrane,S0190(),Plasma_Membrane,s
CPLX_METDabcpp-0,Plasma_Membrane,S0190(),Plasma_Membrane,s
S0191-MONOMER,Plasma_Membrane,S0191(),Plasma_Membrane,s
CPLX_METDabcpp-0,Plasma_Membrane,S0191(),Plasma_Membrane,s
S0192-MONOMER,Plasma_Membrane,S0192(),Plasma_Membrane,s
CPLX_METDabcpp-0,Plasma_Membrane,S0192(),Plasma_Membrane,s
S0508-MONOMER,Plasma_Membrane,S0508(),Plasma_Membrane,s
CPLX_FE3DHBZSabcpp-0,Plasma_Membrane,S0508(),Plasma_Membrane,s
S1309-MONOMER,Plasma_Membrane,S1309(),Plasma_Membrane,s
S1279-MONOMER,Plasma_Membrane,S1279(),Plasma_Membrane,s
S0153-MONOMER,Plasma_Membrane,S0153(),Plasma_Membrane,s
CPLX_ADOCBLabcpp-0,Plasma_Membrane,S0153(),Plasma_Membrane,s
S0879-MONOMER,Plasma_Membrane,S0879(),Plasma_Membrane,s
S1758-MONOMER,Plasma_Membrane,S1758(),Plasma_Membrane,s
S1619-MONOMER,Plasma_Membrane,S1619(),Plasma_Membrane,s
S0549-MONOMER,Plasma_Membrane,S0549(),Plasma_Membrane,s
CPLX_MOBDabcpp-0,Plasma_Membrane,S0549(),Plasma_Membrane,s
S0548-MONOMER,Plasma_Membrane,S0548(),Plasma_Membrane,s
CPLX_MOBDabcpp-0,Plasma_Membrane,S0548(),Plasma_Membrane,s
S3592-MONOMER,Plasma_Membrane,S3592(),Plasma_Membrane,s
S4083-MONOMER,Plasma_Membrane,S4083(),Plasma_Membrane,s
S4276-MONOMER,Plasma_Membrane,S4276(),Plasma_Membrane,s
S0436-MONOMER,Plasma_Membrane,S0436(),Plasma_Membrane,s
S4386-MONOMER,Plasma_Membrane,S4386(),Plasma_Membrane,s
S4656-MONOMER,Plasma_Membrane,S4656(),Plasma_Membrane,s
S2345-MONOMER,Plasma_Membrane,S2345(),Plasma_Membrane,s
CPLX_CHLabcpp-0,Plasma_Membrane,S2345(),Plasma_Membrane,s
S2342-MONOMER,Plasma_Membrane,S2342(),Plasma_Membrane,s
CPLX_CHLabcpp-0,Plasma_Membrane,S2342(),Plasma_Membrane,s
S2343-MONOMER,Plasma_Membrane,S2343(),Plasma_Membrane,s
CPLX_CHLabcpp-0,Plasma_Membrane,S2343(),Plasma_Membrane,s
S1327-MONOMER,Plasma_Membrane,S1327(),Plasma_Membrane,s
S2988-MONOMER,Extracellular_Space,S2988(),Extracellular_Space,s
S3557-MONOMER,Plasma_Membrane,S3557(),Plasma_Membrane,s
S3558-MONOMER,Plasma_Membrane,S3558(),Plasma_Membrane,s
CPLX_14GLUCANabcpp-0,Plasma_Membrane,S3558(),Plasma_Membrane,s
S3559-MONOMER,Plasma_Membrane,S3559(),Plasma_Membrane,s
CPLX_14GLUCANabcpp-0,Plasma_Membrane,S3559(),Plasma_Membrane,s
S3560-MONOMER,Plasma_Membrane,S3560(),Plasma_Membrane,s
CPLX_14GLUCANabcpp-0,Plasma_Membrane,S3560(),Plasma_Membrane,s
S4126-MONOMER,Plasma_Membrane,S4126(),Plasma_Membrane,s
S2233-MONOMER,Plasma_Membrane,S2233(),Plasma_Membrane,s
S4573-MONOMER,Plasma_Membrane,S4573(),Plasma_Membrane,s
S4571-MONOMER,Plasma_Membrane,S4571(),Plasma_Membrane,s
S1293-MONOMER,Plasma_Membrane,S1293(),Plasma_Membrane,s
S3036-MONOMER,Plasma_Membrane,S3036(),Plasma_Membrane,s
S4283-MONOMER,Plasma_Membrane,S4283(),Plasma_Membrane,s
S4282-MONOMER,Plasma_Membrane,S4282(),Plasma_Membrane,s
S0097-MONOMER,Plasma_Membrane,S0097(),Plasma_Membrane,s
S2063-MONOMER,Extracellular_Space,S2063(),Extracellular_Space,s
S2062-MONOMER,Cell_Wall,S2062(),Cell_Wall,s
S3902-MONOMER,Plasma_Membrane,S3902(),Plasma_Membrane,s
S2232-MONOMER,Plasma_Membrane,S2232(),Plasma_Membrane,s
S3025-MONOMER,Cell_Wall,S3025(),Cell_Wall,s
S3138-MONOMER,Plasma_Membrane,S3138(),Plasma_Membrane,s
S1815-MONOMER,Cell_Wall,S1815(),Cell_Wall,s
S2363-MONOMER,Plasma_Membrane,S2363(),Plasma_Membrane,s
CPLX_GALabcpp-0,Plasma_Membrane,S2363(),Plasma_Membrane,s
S3934-MONOMER,Plasma_Membrane,S3934(),Plasma_Membrane,s
S2248-MONOMER,Plasma_Membrane,S2248(),Plasma_Membrane,s
S0402-MONOMER,Plasma_Membrane,S0402(),Plasma_Membrane,s
S2772-MONOMER,Plasma_Membrane,S2772(),Plasma_Membrane,s
S0837-MONOMER,Plasma_Membrane,S0837(),Plasma_Membrane,s
S1336-MONOMER,Plasma_Membrane,S1336(),Plasma_Membrane,s
S3957-MONOMER,Plasma_Membrane,S3957(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3957(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3957(),Plasma_Membrane,s
S3956-MONOMER,Plasma_Membrane,S3956(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3956(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3956(),Plasma_Membrane,s
S3955-MONOMER,Plasma_Membrane,S3955(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3955(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3955(),Plasma_Membrane,s
S3954-MONOMER,Plasma_Membrane,S3954(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3954(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3954(),Plasma_Membrane,s
S3953-MONOMER,Plasma_Membrane,S3953(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3953(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3953(),Plasma_Membrane,s
S3950-MONOMER,Plasma_Membrane,S3950(),Plasma_Membrane,s
CPLX_ATPS4rpp-0,Plasma_Membrane,S3950(),Plasma_Membrane,s
CPLX_ATPS4rpp-1,Plasma_Membrane,S3950(),Plasma_Membrane,s
S1520-MONOMER,Plasma_Membrane,S1520(),Plasma_Membrane,s
S1314-MONOMER,Plasma_Membrane,S1314(),Plasma_Membrane,s
CPLX_NO3R1pp-0,Plasma_Membrane,S1314(),Plasma_Membrane,s
S1312-MONOMER,Plasma_Membrane,S1312(),Plasma_Membrane,s
CPLX_NO3R1pp-0,Plasma_Membrane,S1312(),Plasma_Membrane,s
S1311-MONOMER,Plasma_Membrane,S1311(),Plasma_Membrane,s
CPLX_NO3R1pp-0,Plasma_Membrane,S1311(),Plasma_Membrane,s
S1310-MONOMER,Plasma_Membrane,S1310(),Plasma_Membrane,s
S0144-MONOMER,Plasma_Membrane,S0144(),Plasma_Membrane,s
CPLX_MPTG-1,Plasma_Membrane,S0144(),Plasma_Membrane,s
S3930-MONOMER,Plasma_Membrane,S3930(),Plasma_Membrane,s
S0806-MONOMER,Plasma_Membrane,S0806(),Plasma_Membrane,s
S2370-MONOMER,Plasma_Membrane,S2370(),Plasma_Membrane,s
S3016-MONOMER,Plasma_Membrane,S3016(),Plasma_Membrane,s
S4377-MONOMER,Plasma_Membrane,S4377(),Plasma_Membrane,s
S0376-MONOMER,Plasma_Membrane,S0376(),Plasma_Membrane,s
