TU_start	TU_end	Genes	Strand	Rho_independent	Stable_RNA
156598	157804	CLJU_c01570	-1	f	f
1571214	1573288	CLJU_c14590	1	f	f
1573437	1573620	CLJU_c14600	1	f	f
1574152	1574305	CLJU_c14610	1	f	f
1574677	1574887	CLJU_c14620	1	f	f
1574677	1575471	CLJU_c14630	-1	f	f
1574985	1577015	CLJU_c14640	1	f	f
1577228	1579202	CLJU_c14650	1	f	f
157873	158050	CLJU_c01580	-1	f	f
157873	158631	CLJU_c01590	1	f	f
1579365	1582632	CLJU_c14660	1	f	f
1579365	1584217	CLJU_c14670	-1	f	f
1582903	1585778	CLJU_c14680 CLJU_c14690	1	f	f
1585655	1589942	CLJU_c14700 CLJU_c14710 CLJU_c14720	-1	f	f
158832	159786	CLJU_c01600	1	f	f
1589459	1591676	CLJU_c14730 CLJU_c14740	1	f	f
1591782	1594350	CLJU_c14750	1	f	f
1594542	1595021	CLJU_c14760 CLJU_c14770	1	f	f
1594769	1597044	CLJU_c14780	-1	f	f
1597182	1597782	CLJU_c14790	-1	t	f
1597182	1601364	CLJU_c14800 CLJU_c14810	1	t	f
159938	160856	CLJU_c01610	1	f	f
1601871	1603188	CLJU_c14820	1	f	f
1603448	1604189	CLJU_c14830	1	t	f
1604490	1606971	CLJU_c14840	1	f	f
1604490	1607377	CLJU_c14850	-1	f	f
1607450	1607900	CLJU_c14860	-1	t	f
1607450	1608899	CLJU_c14870	1	t	f
1609233	1610187	CLJU_c14880	1	f	f
1609233	1610597	CLJU_c14890	-1	f	f
1610228	1611577	CLJU_c14900	1	t	f
161120	161441	CLJU_c01620	1	f	f
1611918	1613448	CLJU_c14910	1	f	f
1613752	1619563	CLJU_c14920 CLJU_c14930 CLJU_c14940 CLJU_c14950	1	f	t
161550	162258	CLJU_c01630	1	f	f
1620091	1623096	CLJU_c14960 CLJU_c14970 CLJU_c14980	1	f	f
1621644	1626469	CLJU_c14990 CLJU_c15000	-1	t	f
162322	163048	CLJU_c01640	1	f	f
1625320	1628265	CLJU_c15010	1	f	f
1628324	1630022	CLJU_c15020 CLJU_c15030 CLJU_c15040	1	t	f
1630421	1632335	CLJU_c15050	1	f	f
1630421	1633468	CLJU_c15060	-1	f	f
163162	163651	CLJU_c01650	1	f	f
163162	165002	CLJU_c01660	-1	f	f
1633557	1635463	CLJU_c15070 CLJU_c15080	-1	f	f
1634731	1637303	CLJU_c15090	1	f	f
1636091	1638017	CLJU_c15100	-1	f	f
1637375	1638842	CLJU_c15110	1	f	f
163829	167027	CLJU_c01670	1	f	f
1638326	1640996	CLJU_c15120 CLJU_c15130	-1	t	f
1639679	1641959	CLJU_c15140	1	t	f
1642240	1644139	CLJU_c15150	1	f	f
1644282	1648423	CLJU_c15160 CLJU_c15170 CLJU_c15180	1	f	f
1648991	1649465	CLJU_c15190	1	f	f
1649653	1651745	CLJU_c15200 CLJU_c15210	1	t	f
1652001	1652724	CLJU_c15220	1	f	f
1652001	1654102	CLJU_c15230	-1	f	f
1654284	1656351	CLJU_c15240	-1	f	f
165530	167523	CLJU_c01680 CLJU_c01690	-1	f	f
1656763	1658437	CLJU_c15250	-1	f	f
1658677	1659211	CLJU_c15260	-1	f	f
1658677	1663505	CLJU_c15270 CLJU_c15280 CLJU_c15290 CLJU_c15300	1	f	f
1663571	1664567	CLJU_c15310	1	f	f
1664763	1666233	CLJU_c15320	1	f	f
1666343	1670592	CLJU_c15330 CLJU_c15340 CLJU_c15350	1	f	f
1671040	1671806	CLJU_c15360 CLJU_c15370	1	f	f
1671284	1676276	CLJU_c15380 CLJU_c15390 CLJU_c15400 CLJU_c15410 CLJU_c15420	-1	f	f
167280	168823	CLJU_c01700 CLJU_c01710	1	f	f
1676726	1677002	CLJU_c15430	-1	t	f
1676726	1678020	CLJU_c15440 CLJU_c15450	1	f	f
1678079	1679985	CLJU_c15460 CLJU_c15470	1	f	f
1680060	1682892	CLJU_c15480 CLJU_c15490 CLJU_c15500	1	t	f
1682979	1683744	CLJU_c15510	1	f	f
1684158	1685898	CLJU_c15520	1	f	f
1684158	1686935	CLJU_c15530	-1	f	f
1685987	1689072	CLJU_c15540	1	f	f
168916	169495	CLJU_c01720	1	t	f
1689400	1690075	CLJU_c15550	1	f	f
1690257	1692302	CLJU_c15560 CLJU_c15570	1	t	f
1692619	1693156	CLJU_c15580	1	f	f
1693627	1697277	CLJU_c15590 CLJU_c15600 CLJU_c15610	1	f	f
1697499	1698156	CLJU_c15620	1	f	f
1697499	1698975	CLJU_c15630	-1	f	f
169844	171779	CLJU_c01730	1	f	f
1698516	1701844	CLJU_c15640 CLJU_c15650 CLJU_c15660	1	f	f
1701927	1702983	CLJU_c15670	1	t	f
1703251	1704232	CLJU_c15680	1	f	f
1704564	1706136	CLJU_c15690	1	f	f
1706328	1707836	CLJU_c15700 CLJU_c15710	1	t	f
1708117	1708798	CLJU_c15720	1	t	f
1709451	1710864	CLJU_c15730	1	t	f
1709	3047	CLJU_c00020 CLJU_c00030	1	f	f
1711282	1714359	CLJU_c15740 CLJU_c15750	1	f	f
1713513	1716738	CLJU_c15760 CLJU_c15770	-1	f	f
1715976	1718464	CLJU_c15780	1	t	f
1718858	1719437	CLJU_c15790	1	f	f
1719493	1721591	CLJU_c15800 CLJU_c15810	1	f	f
172061	172838	CLJU_c01740	1	f	f
1721786	1722362	CLJU_c15820	1	f	f
1721786	1723634	CLJU_c15830	-1	f	f
1722428	1727559	CLJU_c15840 CLJU_c15850 CLJU_c15860	1	f	f
1726158	1728624	CLJU_c15870 CLJU_c15880	-1	f	f
1729011	1729989	CLJU_c15890 CLJU_c15900	-1	f	f
1730181	1732146	CLJU_c15910	-1	f	f
1730181	1733209	CLJU_c15920	1	t	f
173163	174204	CLJU_c01750	1	f	f
