,name,genes,source
TM1526-MONOMER,ferritin family protein,TM1526(),GenBank
TM1527-MONOMER,RrF2 family transcriptional regulator,TM1527(),GenBank
TM1528-MONOMER,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",TM1528(1),GenBank
TM1529-MONOMER,type II CAAX endopeptidase family protein,TM1529(),GenBank
TM1530-MONOMER,electron transfer flavoprotein subunit beta/FixA family protein,TM1530(),GenBank
TM1531-MONOMER,electron transfer flavoprotein subunit alpha/FixB family protein,TM1531(),GenBank
TM1532-MONOMER,NAD(P)/FAD-dependent oxidoreductase,TM1532(),GenBank
TM1533-MONOMER,ferredoxin family protein,TM1533(),GenBank
TM1534-MONOMER,50S ribosomal protein L31,TM1534(),GenBank
TM1535-MONOMER,polyprenyl synthetase family protein,TM1535(2),GenBank
TM1536-MONOMER,DUF981 family protein,TM1536(),GenBank
TM1537-MONOMER,radical SAM protein,TM1537(),GenBank
TM1538-MONOMER,rod-binding protein,TM1538(),GenBank
TM1539-MONOMER,flagellar basal body P-ring protein FlgI,TM1539(),GenBank
TM1540-MONOMER,flagellar basal body L-ring protein FlgH,TM1540(),GenBank
TM1541-MONOMER,flagellar basal body P-ring formation chaperone FlgA,TM1541(),GenBank
TM1542-MONOMER,flagellar basal-body rod protein FlgG,TM1542(),GenBank
TM1543-MONOMER,flagellar basal-body rod protein FlgF,TM1543(),GenBank
TM1544-MONOMER,rod shape-determining protein,TM1544(),GenBank
TM1545-MONOMER,RuvX/YqgF family protein,TM1545(),GenBank
TM1546-MONOMER,single-stranded-DNA-specific exonuclease RecJ,TM1546(),GenBank
TM1547-MONOMER,HD domain-containing protein,TM1547(),GenBank
TM1548-MONOMER,polysaccharide biosynthesis protein,TM1548(),GenBank
TM1549-MONOMER,glycosyltransferase family 4 protein,TM1549(1),GenBank
TM1550-MONOMER,DUF1385 domain-containing protein,TM1550(),GenBank
TM1551-MONOMER,AmmeMemoRadiSam system protein A,TM1551(),GenBank
TM1552-MONOMER,AmmeMemoRadiSam system radical SAM enzyme,TM1552(1),GenBank
TM1553-MONOMER,FAD:protein FMN transferase,TM1553(),GenBank
TM1554-MONOMER,NusG domain II-containing protein,TM1554(),GenBank
TM1555-MONOMER,Gx transporter family protein,TM1555(),GenBank
TM1556-MONOMER,Maf family nucleotide pyrophosphatase,TM1556(),GenBank
TM1557-MONOMER,DNA repair protein RadC,TM1557(),GenBank
TM1558-MONOMER,HDIG domain-containing protein,TM1558(),GenBank
TM1559-MONOMER,deoxyribose-phosphate aldolase,TM1559(1),GenBank
TM1560-MONOMER,cyclodeaminase/cyclohydrolase family protein,TM1560(),GenBank
TM1561-MONOMER,tRNA guanosine(34) transglycosylase Tgt,TM1561(6),GenBank
TM1562-MONOMER,hypothetical protein,TM1562(),GenBank
TM1563-MONOMER,mechanosensitive ion channel family protein,TM1563(),GenBank
TM1564-MONOMER,acylphosphatase,TM1564(1),GenBank
TM1565-MONOMER,signal recognition particle protein,TM1565(),GenBank
TM1566-MONOMER,30S ribosomal protein S16,TM1566(1),GenBank
TM1567-MONOMER,KH domain-containing protein,TM1567(),GenBank
TM1568-MONOMER,ribosome maturation factor RimM,TM1568(1),GenBank
TM1569-MONOMER,tRNA (guanosine(37)-N1)-methyltransferase TrmD,TM1569(2),GenBank
TM1570-MONOMER,SPOUT family RNA methylase,TM1570(),GenBank
TM1571-MONOMER,50S ribosomal protein L19,TM1571(1),GenBank
TM1572-MONOMER,signal peptidase I,TM1572(),GenBank
TM1573-MONOMER,PQQ-binding-like beta-propeller repeat protein,TM1573(),GenBank
TM1574-MONOMER,tRNA pseudouridine(38-40) synthase TruA,TM1574(2),GenBank
TM_RS09725-MONOMER,hypothetical protein,TM_RS09725(),GenBank
TM1575-MONOMER,PQQ-binding-like beta-propeller repeat protein,TM1575(),GenBank
TM1576-MONOMER,TlyA family rRNA (cytidine-2'-O)-methyltransferase,TM1576(),GenBank
TM1577-MONOMER,hypothetical protein,TM1577(),GenBank
TM1578-MONOMER,preprotein translocase subunit SecA,TM1578(1),GenBank
TM1579-MONOMER,peptide chain release factor 2,TM1579(1),GenBank
TM1580-MONOMER,sigma-54-dependent transcriptional regulator,TM1580(),GenBank
TM1581-MONOMER,alkaline phosphatase family protein,TM1581(),GenBank
TM1582-MONOMER,ribonuclease H-like YkuK family protein,TM1582(),GenBank
TM1583-MONOMER,hypothetical protein,TM1583(),GenBank
TM1584-MONOMER,ComF family protein,TM1584(),GenBank
TM1585-MONOMER,glycerate kinase,TM1585(),GenBank
TM1586-MONOMER,nitroreductase family protein,TM1586(),GenBank
TM1587-MONOMER,hypothetical protein,TM1587(),GenBank
TM1588-MONOMER,GGDEF domain-containing protein,TM1588(),GenBank
TM1589-MONOMER,clostripain-related cysteine peptidase,TM1589(),GenBank
TM1590-MONOMER,translation initiation factor IF-3,TM1590(1),GenBank
TM1591-MONOMER,50S ribosomal protein L35,TM1591(),GenBank
TM1592-MONOMER,50S ribosomal protein L20,TM1592(1),GenBank
TM1593-MONOMER,Mrp/NBP35 family ATP-binding protein,TM1593(),GenBank
TM1594-MONOMER,diguanylate cyclase,TM1594(),GenBank
TM1595-MONOMER,bifunctional oligoribonuclease/PAP phosphatase NrnA,TM1595(),GenBank
TM1596-MONOMER,"purine nucleoside phosphorylase I, inosine and guanosine-specific",TM1596(),GenBank
TM1597-MONOMER,lysine racemase,TM1597(),GenBank
TM1598-MONOMER,sigma-70 family RNA polymerase sigma factor,TM1598(1),GenBank
TM1599-MONOMER,hypothetical protein,TM1599(),GenBank
TM1600-MONOMER,hypothetical protein,TM1600(),GenBank
TM1601-MONOMER,radical SAM protein,TM1601(),GenBank
TM1602-MONOMER,transcription repressor NadR,TM1602(),GenBank
TM1603-MONOMER,MFS transporter,TM1603(),GenBank
TM1604-MONOMER,UMP kinase,TM1604(6),GenBank
TM1605-MONOMER,translation elongation factor Ts,TM1605(1),GenBank
TM1606-MONOMER,ribonuclease E/G,TM1606(2),GenBank
TM1607-MONOMER,ribosome-associated translation inhibitor RaiA,TM1607(),GenBank
TM1608-MONOMER,DegV family protein,TM1608(),GenBank
TM1609-MONOMER,F0F1 ATP synthase subunit epsilon,TM1609(),GenBank
TM1610-MONOMER,F0F1 ATP synthase subunit beta,TM1610(),GenBank
TM1611-MONOMER,ATP synthase F1 subunit gamma,TM1611(),GenBank
TM1612-MONOMER,F0F1 ATP synthase subunit alpha,TM1612(),GenBank
TM1613-MONOMER,F0F1 ATP synthase subunit delta,TM1613(),GenBank
TM1614-MONOMER,F0F1 ATP synthase subunit B,TM1614(),GenBank
TM1615-MONOMER,F0F1 ATP synthase subunit C,TM1615(),GenBank
TM1616-MONOMER,F0F1 ATP synthase subunit A,TM1616(),GenBank
TM1617-MONOMER,ATP synthase subunit I,TM1617(),GenBank
TM_RS08235-MONOMER,AtpZ/AtpI family protein,TM_RS08235(),GenBank
TM1618-MONOMER,chemotaxis protein CheX,TM1618(),GenBank
TM1619-MONOMER,DNA polymerase I,TM1619(),GenBank
TM1620-MONOMER,carboxymuconolactone decarboxylase family protein,TM1620(),GenBank
TM1621-MONOMER,glycerophosphodiester phosphodiesterase family protein,TM1621(),GenBank
TM1622-MONOMER,DUF3242 domain-containing protein,TM1622(),GenBank
TM1623-MONOMER,translation elongation factor 4,TM1623(),GenBank
TM1624-MONOMER,glycoside hydrolase family 2 protein,TM1624(),GenBank
TM1625-MONOMER,UvrB/UvrC motif-containing protein,TM1625(),GenBank
TM1626-MONOMER,aminoacyl-tRNA hydrolase,TM1626(),GenBank
TM1627-MONOMER,50S ribosomal protein L25,TM1627(),GenBank
TM1628-MONOMER,ribose-phosphate pyrophosphokinase,TM1628(1),GenBank
TM1629-MONOMER,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,TM1629(3),GenBank
TM1630-MONOMER,hypothetical protein,TM1630(),GenBank
TM1631-MONOMER,DUF72 domain-containing protein,TM1631(),GenBank
TM1632-MONOMER,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,TM1632(),GenBank
TM1633-MONOMER,endopeptidase La,TM1633(),GenBank
TM1634-MONOMER,hypothetical protein,TM1634(),GenBank
TM1635-MONOMER,exonuclease SbcCD subunit D,TM1635(),GenBank
TM1636-MONOMER,SMC family ATPase,TM1636(),GenBank
TM1637-MONOMER,hypothetical protein,TM1637(),GenBank
TM1638-MONOMER,ABC transporter ATP-binding protein,TM1638(),GenBank
TM1639-MONOMER,sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein,TM1639(),GenBank
TM1640-MONOMER,NADPH-dependent glutamate synthase,TM1640(),GenBank
TM1641-MONOMER,dihydrofolate reductase,TM1641(),GenBank
TM1642-MONOMER,bifunctional aspartate carbamoyltransferase catalytic subunit/aspartate carbamoyltransferase regulatory subunit,TM1642(3),GenBank
TM1643-MONOMER,aspartate dehydrogenase,TM1643(),GenBank
TM1644-MONOMER,quinolinate synthase NadA,TM1644(2),GenBank
TM1645-MONOMER,carboxylating nicotinate-nucleotide diphosphorylase,TM1645(2),GenBank
TM1646-MONOMER,YaaR family protein,TM1646(),GenBank
TM1647-MONOMER,hypothetical protein,TM1647(),GenBank
TM1648-MONOMER,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) YqeK,TM1648(),GenBank
TM1649-MONOMER,DUF503 domain-containing protein,TM1649(),GenBank
TM1650-MONOMER,alpha-amylase family glycosyl hydrolase,TM1650(),GenBank
TM1651-MONOMER,elongation factor G,TM1651(),GenBank
TM1652-MONOMER,phosphodiester glycosidase family protein,TM1652(),GenBank
TM1653-MONOMER,pyrimidine-nucleoside phosphorylase,TM1653(2),GenBank
TM1654-MONOMER,ATP-binding protein,TM1654(),GenBank
TM1655-MONOMER,response regulator transcription factor,TM1655(),GenBank
TM1656-MONOMER,hypothetical protein,TM1656(),GenBank
TM1657-MONOMER,30S ribosomal protein S20,TM1657(1),GenBank
TM1658-MONOMER,methionine adenosyltransferase,TM1658(4),GenBank
TM1659-MONOMER,hypothetical protein,TM1659(),GenBank
TM1660-MONOMER,M23 family metallopeptidase,TM1660(),GenBank
TM1661-MONOMER,peptide deformylase,TM1661(1),GenBank
TM1662-MONOMER,5'/3'-nucleotidase SurE,TM1662(1),GenBank
TM1663-MONOMER,energy-coupling factor ABC transporter ATP-binding protein EcfA1,TM1663(),GenBank
TM1664-MONOMER,class I SAM-dependent methyltransferase,TM1664(1),GenBank
TM1665-MONOMER,HAMP domain-containing sensor histidine kinase,TM1665(),GenBank
TM1666-MONOMER,M20 family metallo-hydrolase,TM1666(4),GenBank
TM1667-MONOMER,xylose isomerase,TM1667(4),GenBank
TM1668-MONOMER,DUF192 domain-containing protein,TM1668(),GenBank
TM1670-MONOMER,hypothetical protein,TM1670(),GenBank
TM1672-MONOMER,FlhB-like flagellar biosynthesis protein,TM1672(),GenBank
TM1673-MONOMER,flagellar hook-length control protein FliK,TM1673(),GenBank
TM1674-MONOMER,YdcF family protein,TM1674(),GenBank
TM1675-MONOMER,DUF996 domain-containing protein,TM1675(),GenBank
TM1676-MONOMER,hypothetical protein,TM1676(),GenBank
TM1677-MONOMER,RNA-guided endonuclease TnpB family protein,TM1677(),GenBank
TM1678-MONOMER,HD-GYP domain-containing protein,TM1678(),GenBank
TM1679-MONOMER,MBL fold metallo-hydrolase,TM1679(),GenBank
TM1680-MONOMER,DUF5320 domain-containing protein,TM1680(),GenBank
TM1681-MONOMER,DUF5320 family protein,TM1681(),GenBank
TM1682-MONOMER,HD domain-containing protein,TM1682(),GenBank
TM1683-MONOMER,cold-shock protein,TM1683(),GenBank
TM1684-MONOMER,50S ribosomal protein L31,TM1684(1),GenBank
TM1685-MONOMER,S1 RNA-binding domain-containing protein,TM1685(),GenBank
TM1686-MONOMER,"L,D-transpeptidase family protein",TM1686(),GenBank
TM1687-MONOMER,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,TM1687(12),GenBank
TM1688-MONOMER,DNA-directed RNA polymerase subunit omega,TM1688(),GenBank
TM1689-MONOMER,guanylate kinase,TM1689(2),GenBank
TM1690-MONOMER,DUF370 domain-containing protein,TM1690(),GenBank
TM1691-MONOMER,YicC family protein,TM1691(),GenBank
TM1692-MONOMER,cysteine desulfurase family protein,TM1692(2),GenBank
TM1693-MONOMER,lysophospholipid acyltransferase family protein,TM1693(1),GenBank
TM1694-MONOMER,tRNA 4-thiouridine(8) synthase ThiI,TM1694(1),GenBank
TM1695-MONOMER,tetratricopeptide repeat protein,TM1695(),GenBank
TM1696-MONOMER,A24 family peptidase,TM1696(),GenBank
TM1697-MONOMER,class I SAM-dependent rRNA methyltransferase,TM1697(2),GenBank
TM1698-MONOMER,pyridoxal phosphate-dependent aminotransferase,TM1698(),GenBank
TM1699-MONOMER,HD-GYP domain-containing protein,TM1699(),GenBank
TM1700-MONOMER,HAD family hydrolase,TM1700(),GenBank
TM1701-MONOMER,MATE family efflux transporter,TM1701(),GenBank
TM1702-MONOMER,hypothetical protein,TM1702(),GenBank
TM1703-MONOMER,LTA synthase family protein,TM1703(),GenBank
TM1704-MONOMER,peptidyl-prolyl cis-trans isomerase,TM1704(),GenBank
TM1705-MONOMER,lysine--tRNA ligase,TM1705(2),GenBank
TM1706-MONOMER,transcription elongation factor GreA,TM1706(1),GenBank
TM1707-MONOMER,transcriptional regulator NrdR,TM1707(),GenBank
TM1708-MONOMER,DNA-binding protein WhiA,TM1708(),GenBank
TM1709-MONOMER,YvcK family protein,TM1709(),GenBank
TM1710-MONOMER,RNase adapter RapZ,TM1710(),GenBank
TM1711-MONOMER,hypothetical protein,TM1711(),GenBank
TM1712-MONOMER,DivIVA domain-containing protein,TM1712(),GenBank
TM1713-MONOMER,IMPACT family protein,TM1713(),GenBank
TM1714-MONOMER,UDP-N-acetylmuramate dehydrogenase,TM1714(1),GenBank
TM1715-MONOMER,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,TM1715(),GenBank
TM1716-MONOMER,PASTA domain-containing protein,TM1716(),GenBank
TM1717-MONOMER,ribosome small subunit-dependent GTPase A,TM1717(1),GenBank
TM1718-MONOMER,ribulose-phosphate 3-epimerase,TM1718(1),GenBank
TM1719-MONOMER,DNA mismatch repair protein MutS,TM1719(),GenBank
TM1720-MONOMER,GNAT family N-acetyltransferase,TM1720(),GenBank
TM1721-MONOMER,hypothetical protein,TM1721(),GenBank
TM1722-MONOMER,DMT family transporter,TM1722(),GenBank
TM1723-MONOMER,amidohydrolase,TM1723(),GenBank
TM1724-MONOMER,3-oxoacyl-[acyl-carrier-protein] reductase,TM1724(1),GenBank
TM1725-MONOMER,V-type ATP synthase subunit D,TM1725(),GenBank
TM1726-MONOMER,alanyl-tRNA editing protein,TM1726(),GenBank
TM1727-MONOMER,Rossmann-like and DUF2520 domain-containing protein,TM1727(),GenBank
TM1728-MONOMER,3-methyl-2-oxobutanoate hydroxymethyltransferase,TM1728(10),GenBank
TM1729-MONOMER,S-layer homology domain-containing protein,TM1729(),GenBank
TM1730-MONOMER,Holliday junction branch migration DNA helicase RuvB,TM1730(),GenBank
TM1731-MONOMER,YggS family pyridoxal phosphate-dependent enzyme,TM1731(),GenBank
TM1732-MONOMER,YggT family protein,TM1732(),GenBank
TM1733-MONOMER,NAD(+) kinase,TM1733(6),GenBank
TM1734-MONOMER,phosphate signaling complex protein PhoU,TM1734(),GenBank
TM1735-MONOMER,LptF/LptG family permease,TM1735(),GenBank
TM1736-MONOMER,replicative DNA helicase,TM1736(),GenBank
TM1737-MONOMER,purine-nucleoside phosphorylase,TM1737(6),GenBank
TM1738-MONOMER,ZIP family metal transporter,TM1738(1),GenBank
TM1739-MONOMER,DNA double-strand break repair nuclease NurA,TM1739(),GenBank
TM1740-MONOMER,Mini-ribonuclease 3,TM1740(),GenBank
TM1741-MONOMER,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,TM1741(2),GenBank
TM1742-MONOMER,HAD-IIA family hydrolase,TM1742(),GenBank
TM1743-MONOMER,aldo/keto reductase,TM1743(1),GenBank
TM1744-MONOMER,low-specificity L-threonine aldolase,TM1744(4),GenBank
TM1745-MONOMER,hypothetical protein,TM1745(),GenBank
TM1746-MONOMER,ABC transporter substrate-binding protein,TM1746(),GenBank
TM1747-MONOMER,ABC transporter permease,TM1747(),GenBank
TM1748-MONOMER,ABC transporter permease,TM1748(),GenBank
TM1749-MONOMER,ABC transporter ATP-binding protein,TM1749(),GenBank
TM1750-MONOMER,ABC transporter ATP-binding protein,TM1750(),GenBank
TM1751-MONOMER,glycoside hydrolase family 5 protein,TM1751(),GenBank
TM1752-MONOMER,glycoside hydrolase family 5 protein,TM1752(),GenBank
TM1753-MONOMER,hypothetical protein,TM1753(),GenBank
TM1754-MONOMER,butyrate kinase,TM1754(),GenBank
TM1755-MONOMER,phosphate acyltransferase,TM1755(2),GenBank
TM1756-MONOMER,butyrate kinase,TM1756(),GenBank
TM1757-MONOMER,hypothetical protein,TM1757(),GenBank
TM1758-MONOMER,ferredoxin family protein,TM1758(),GenBank
TM1759-MONOMER,3-methyl-2-oxobutanoate dehydrogenase subunit VorB,TM1759(),GenBank
TM_RS08950-MONOMER,thiamine pyrophosphate-dependent enzyme,TM_RS08950(),GenBank
TM_RS08955-MONOMER,2-oxoacid:acceptor oxidoreductase family protein,TM_RS08955(),GenBank
TM1761-MONOMER,excinuclease ABC subunit UvrB,TM1761(),GenBank
TM1762-MONOMER,transketolase,TM1762(),GenBank
TM1763-MONOMER,elongation factor P,TM1763(),GenBank
TM1764-MONOMER,Asp23/Gls24 family envelope stress response protein,TM1764(),GenBank
TM1765-MONOMER,transcription antitermination factor NusB,TM1765(1),GenBank
TM1766-MONOMER,formate--tetrahydrofolate ligase,TM1766(),GenBank
TM1767-MONOMER,"bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase",TM1767(2),GenBank
TM1768-MONOMER,exodeoxyribonuclease VII large subunit,TM1768(),GenBank
TM1769-MONOMER,exodeoxyribonuclease VII small subunit,TM1769(),GenBank
TM1770-MONOMER,1-deoxy-D-xylulose-5-phosphate synthase,TM1770(2),GenBank
TM1771-MONOMER,Asp23/Gls24 family envelope stress response protein,TM1771(),GenBank
TM1772-MONOMER,DAK2 domain-containing protein,TM1772(),GenBank
TM1773-MONOMER,tetratricopeptide repeat protein,TM1773(),GenBank
TM1774-MONOMER,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",TM1774(),GenBank
TM1775-MONOMER,ComEC/Rec2 family competence protein,TM1775(),GenBank
TM1776-MONOMER,Fur family transcriptional regulator,TM1776(),GenBank
TM1777-MONOMER,transcription termination factor NusA,TM1777(1),GenBank
TM1778-MONOMER,ribosome maturation factor RimP,TM1778(),GenBank
TM1780-MONOMER,argininosuccinate synthase,TM1780(4),GenBank
TM_RS09730-MONOMER,hypothetical protein,TM_RS09730(),GenBank
TM1781-MONOMER,argininosuccinate lyase,TM1781(),GenBank
TM1782-MONOMER,N-acetyl-gamma-glutamyl-phosphate reductase,TM1782(1),GenBank
TM1783-MONOMER,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,TM1783(),GenBank
TM1784-MONOMER,acetylglutamate kinase,TM1784(6),GenBank
TM1785-MONOMER,acetylornithine transaminase,TM1785(2),GenBank
TM1786-MONOMER,hypothetical protein,TM1786(),GenBank
TM1787-MONOMER,DMT family transporter,TM1787(),GenBank
TM1788-MONOMER,GGDEF domain-containing protein,TM1788(),GenBank
TM1789-MONOMER,hypothetical protein,TM1789(),GenBank
TM1790-MONOMER,hypothetical protein,TM1790(),GenBank
TM1791-MONOMER,type III-B CRISPR module RAMP protein Cmr6,TM1791(),GenBank
TM_RS09125-MONOMER,type III-B CRISPR module-associated protein Cmr5,TM_RS09125(),GenBank
TM1792-MONOMER,type III-B CRISPR module RAMP protein Cmr4,TM1792(),GenBank
TM1793-MONOMER,type III-B CRISPR module-associated protein Cmr3,TM1793(),GenBank
TM1794-MONOMER,type III-B CRISPR-associated protein Cas10/Cmr2,TM1794(),GenBank
TM1795-MONOMER,type III-B CRISPR module RAMP protein Cmr1,TM1795(),GenBank
TM1796-MONOMER,CRISPR-associated endonuclease Cas2,TM1796(),GenBank
TM1797-MONOMER,type I-B CRISPR-associated endonuclease Cas1b,TM1797(),GenBank
TM1798-MONOMER,CRISPR-associated protein Cas4,TM1798(),GenBank
TM1799-MONOMER,CRISPR-associated helicase/endonuclease Cas3,TM1799(),GenBank
TM1800-MONOMER,type I-B CRISPR-associated protein Cas5b,TM1800(),GenBank
TM1801-MONOMER,type I-B CRISPR-associated protein Cas7/Csh2,TM1801(),GenBank
TM1802-MONOMER,TIGR02556 family CRISPR-associated protein,TM1802(),GenBank
TM1803-MONOMER,J domain-containing protein,TM1803(),GenBank
TM1804-MONOMER,hypothetical protein,TM1804(),GenBank
TM1805-MONOMER,DUF5685 family protein,TM1805(),GenBank
TM1806-MONOMER,hypothetical protein,TM1806(),GenBank
TM1807-MONOMER,type III-A CRISPR-associated RAMP protein Csm5,TM1807(),GenBank
TM1808-MONOMER,type III-A CRISPR-associated RAMP protein Csm4,TM1808(),GenBank
TM1809-MONOMER,type III-A CRISPR-associated RAMP protein Csm3,TM1809(),GenBank
TM1810-MONOMER,type III-A CRISPR-associated protein Csm2,TM1810(),GenBank
TM1811-MONOMER,type III-A CRISPR-associated protein Cas10/Csm1,TM1811(),GenBank
TM1812-MONOMER,TM1812 family CRISPR-associated protein,TM1812(),GenBank
TM1813-MONOMER,hypothetical protein,TM1813(),GenBank
TM1814-MONOMER,CRISPR-associated endoribonuclease Cas6,TM1814(),GenBank
TM1815-MONOMER,ferredoxin family protein,TM1815(),GenBank
TM1816-MONOMER,NifB/NifX family molybdenum-iron cluster-binding protein,TM1816(),GenBank
TM1817-MONOMER,valine--tRNA ligase,TM1817(1),GenBank
TM1818-MONOMER,chromate transporter,TM1818(),GenBank
TM1819-MONOMER,chromate transporter,TM1819(),GenBank
TM1820-MONOMER,glutamine-hydrolyzing GMP synthase,TM1820(2),GenBank
TM1821-MONOMER,N-glycosylase/DNA lyase,TM1821(),GenBank
TM1822-MONOMER,FtsH protease activity modulator HflK,TM1822(),GenBank
TM1823-MONOMER,protease modulator HflC,TM1823(),GenBank
TM1824-MONOMER,glycosyltransferase,TM1824(),GenBank
TM1825-MONOMER,"6,7-dimethyl-8-ribityllumazine synthase",TM1825(60),GenBank
TM1826-MONOMER,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",TM1826(2),GenBank
TM1827-MONOMER,riboflavin synthase,TM1827(3),GenBank
TM1828-MONOMER,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,TM1828(2),GenBank
TM1830-MONOMER,GGDEF domain-containing protein,TM1830(),GenBank
TM1831-MONOMER,RNA-guided endonuclease TnpB family protein,TM1831(),GenBank
TM1832-MONOMER,IS200/IS605 family transposase,TM1832(),GenBank
TM1833-MONOMER,cache domain-containing protein,TM1833(),GenBank
TM1834-MONOMER,alpha-glucosidase AglA,TM1834(),GenBank
TM1835-MONOMER,cyclomaltodextrinase,TM1835(1),GenBank
TM1836-MONOMER,sugar ABC transporter permease,TM1836(),GenBank
TM1837-MONOMER,ABC transporter permease subunit,TM1837(),GenBank
TM_RS09740-MONOMER,hypothetical protein,TM_RS09740(),GenBank
TM1838-MONOMER,DUF4896 domain-containing protein,TM1838(),GenBank
TM1839-MONOMER,maltose/maltodextrin ABC transporter substrate-binding protein MalE,TM1839(),GenBank
TM1840-MONOMER,alpha-amylase family glycosyl hydrolase,TM1840(1),GenBank
TM1841-MONOMER,hypothetical protein,TM1841(),GenBank
TM1842-MONOMER,hypothetical protein,TM1842(),GenBank
TM1843-MONOMER,hypothetical protein,TM1843(),GenBank
TM1844-MONOMER,glycogen-binding domain-containing protein,TM1844(),GenBank
TM1845-MONOMER,type I pullulanase,TM1845(1),GenBank
TM1846-MONOMER,WD40 repeat domain-containing protein,TM1846(),GenBank
TM1847-MONOMER,ROK family protein,TM1847(),GenBank
TM1848-MONOMER,glycosyl transferase,TM1848(),GenBank
TM1849-MONOMER,DUF4382 domain-containing protein,TM1849(),GenBank
TM1850-MONOMER,hypothetical protein,TM1850(),GenBank
TM1851-MONOMER,alpha-mannosidase,TM1851(),GenBank
TM1852-MONOMER,glycosidase,TM1852(),GenBank
TM1853-MONOMER,carbohydrate ABC transporter permease,TM1853(),GenBank
TM1854-MONOMER,sugar ABC transporter permease,TM1854(),GenBank
TM1855-MONOMER,extracellular solute-binding protein,TM1855(),GenBank
TM1856-MONOMER,LacI family DNA-binding transcriptional regulator,TM1856(),GenBank
TM1857-MONOMER,ribonuclease Y,TM1857(),GenBank
TM1858-MONOMER,regulatory protein RecX,TM1858(),GenBank
TM1859-MONOMER,recombinase RecA,TM1859(),GenBank
TM1860-MONOMER,"RNA 2',3'-cyclic phosphodiesterase",TM1860(),GenBank
TM1861-MONOMER,CDP-alcohol phosphatidyltransferase family protein,TM1861(1),GenBank
TM1862-MONOMER,30S ribosomal protein S12 methylthiotransferase RimO,TM1862(),GenBank
TM1863-MONOMER,DUF4416 family protein,TM1863(),GenBank
TM1864-MONOMER,helix-turn-helix domain-containing protein,TM1864(),GenBank
TM1865-MONOMER,endonuclease V,TM1865(),GenBank
TM1866-MONOMER,LCP family protein,TM1866(),GenBank
TM1867-MONOMER,L-lactate dehydrogenase,TM1867(2),GenBank
TM1868-MONOMER,energy-coupling factor transporter transmembrane protein EcfT,TM1868(),GenBank
TM1869-MONOMER,ATP-binding protein,TM1869(),GenBank
TM1870-MONOMER,septum site-determining protein MinD,TM1870(),GenBank
TM1871-MONOMER,hypothetical protein,TM1871(),GenBank
TM1872-MONOMER,secondary thiamine-phosphate synthase enzyme YjbQ,TM1872(),GenBank
TM1873-MONOMER,type III PLP-dependent enzyme,TM1873(),GenBank
TM1874-MONOMER,cold-shock protein,TM1874(),GenBank
TM1875-MONOMER,glutamate--tRNA ligase,TM1875(),GenBank
TM1876-MONOMER,metallophosphoesterase family protein,TM1876(),GenBank
TM1877-MONOMER,radical SAM protein,TM1877(),GenBank
TM1878-MONOMER,bifunctional UDP-sugar hydrolase/5'-nucleotidase,TM1878(1),GenBank
CPLX_ASNTRAT,Aspartyl-tRNA(Asn) amidotransferase,TM1272() AND TM1273() AND TM0252(),Manual
SufBCD,SufBC2D Fe-S cluster scaffold complex,TM1369(1) AND TM1368(2) AND TM1416(1),Manual
SufSU,L-cysteine desulfurase,TM1371(2) AND TM1372(2),Manual
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,TM0217(2) AND TM0216(2),Manual
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,TM0822(2) AND TM0821(2),Manual
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,TM0716() AND TM0717(),Manual
CPLX_ALCD19-0,Alcohol dehydrogenase (glycerol),TM0111() AND TM0920(),Manual
CPLX_ACLS-0,Acetolactate synthase,TM0549(2) AND TM0548(2),Manual
CPLX_ATPS1-0,H+-exporting ATPase,TM1612() AND TM1616() AND TM1609() AND TM1610() AND TM1615() AND TM1614() AND TM1611() AND TM1613(),Manual
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),TM0558(2) AND TM0557(2),Manual
CPLX_CEL6abc-0,Oligo-cellulose (6) transport via ABC system,TM1226() AND TM1222() AND TM1221() AND TM1220() AND TM1219(),Manual
CPLX_CELLBabc-0,Cellobiose transport via ATP transporter,TM0031() AND TM0030() AND TM0029() AND TM0028() AND TM0027(),Manual
