Reaction,Complexes
CDGUNPD,GMET_RS03515-MONOMER OR GMET_RS03915-MONOMER OR GMET_RS04790-MONOMER OR GMET_RS04940-MONOMER OR GMET_RS12170-MONOMER OR GMET_RS13190-MONOMER OR GMET_RS15460-MONOMER OR GMET_RS04250-MONOMER OR GMET_RS06875-MONOMER OR GMET_RS09695-MONOMER OR GMET_RS10055-MONOMER OR GMET_RS12850-MONOMER OR GMET_RS13605-MONOMER OR GMET_RS15035-MONOMER OR GMET_RS16415-MONOMER OR GMET_RS17425-MONOMER OR GMET_RS18115-MONOMER OR GMET_RS07845-MONOMER OR GMET_RS14115-MONOMER
CDPMEK,GMET_RS14280-MONOMER_mod_mg2(1)
CFAS160E,GMET_RS11025-MONOMER_mod_hco3(1)
CFAS160G,GMET_RS11025-MONOMER_mod_hco3(1)
CFAS180E,GMET_RS11025-MONOMER_mod_hco3(1)
CFAS180G,GMET_RS11025-MONOMER_mod_hco3(1)
CHDCCH,GMET_RS10835-MONOMER
CHORM,GMET_RS04315-MONOMER OR GMET_RS09875-MONOMER
CHORS,GMET_RS04885-MONOMER_mod_fmnh2(1) OR GMET_RS04885-MONOMER_mod_fadh2(1)
CITCIa,CPLX2LZ9-34
CITCIb,CPLX2LZ9-34
CITMS,GMET_RS09495-MONOMER
CLPNS120pp,GMET_RS00390-MONOMER OR GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER
CLPNS140pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLPNS141pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLPNS160pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLPNS161pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLPNS180pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLPNS181pp,GMET_RS15425-MONOMER OR GMET_RS00325-MONOMER OR GMET_RS00390-MONOMER
CLt3_2pp,GMET_RS17400-MONOMER
CLtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CMPDAi,GMET_RS08150-MONOMER OR GMET_RS01200-MONOMER
CO2tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
COBALT2tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
COBALTt4pp,CPLX_CD2t4pp-0 OR CPLX_CD2t4pp-1 OR CPLX_CD2t4pp-2 OR CPLX_CD2t4pp-3
CODH4,GMET_RS09615-MONOMER
CPC2MT,GMET_RS02410-MONOMER
CPC3MT,GMET_RS02425-MONOMER
CPC4MT,GMET_RS02415-MONOMER
CPC5MT,CPLX_CPC5MT-0
CPC6MT,GMET_RS02405-MONOMER
CPC8MM,GMET_RS02385-MONOMER
CPH4S,GMET_RS08335-MONOMER
CPMPS,CPLX_CPMPS-0 OR CPLX_CPMPS-1 OR CPLX_CPMPS-2
CPPPGOAN2,GMET_RS17735-MONOMER
CREStex,GMET_RS10720-MONOMER
CRO4abcpp,CPLX2LZ9-3
CRO4t3pp,CPLX_CRO4t3pp-0
CRO4tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CS,GMET_RS13485-MONOMER
CSND,GMET_RS17665-MONOMER_mod_zn2(2)
CSPMDDC,GMET_RS04520-MONOMER
CSPMDDH,GMET_RS04515-MONOMER
CTECOAI6,GMET_RS08635-MONOMER OR GMET_RS10450-MONOMER OR GMET_RS07905-MONOMER OR GMET_RS11115-MONOMER OR GMET_RS16565-MONOMER OR GMET_RS11140-MONOMER OR GMET_RS11055-MONOMER OR GMET_RS16460-MONOMER OR GMET_RS07920-MONOMER OR GMET_RS11100-MONOMER OR GMET_RS11060-MONOMER OR GMET_RS11200-MONOMER OR GMET_RS10380-MONOMER
CTECOAI7,GMET_RS08635-MONOMER OR GMET_RS10450-MONOMER OR GMET_RS07905-MONOMER OR GMET_RS11115-MONOMER OR GMET_RS16565-MONOMER OR GMET_RS11140-MONOMER OR GMET_RS11055-MONOMER OR GMET_RS16460-MONOMER OR GMET_RS07920-MONOMER OR GMET_RS11100-MONOMER OR GMET_RS11060-MONOMER OR GMET_RS11200-MONOMER OR GMET_RS10380-MONOMER
CTECOAI8,GMET_RS08635-MONOMER OR GMET_RS10450-MONOMER OR GMET_RS07905-MONOMER OR GMET_RS11115-MONOMER OR GMET_RS16565-MONOMER OR GMET_RS11140-MONOMER OR GMET_RS11055-MONOMER OR GMET_RS16460-MONOMER OR GMET_RS07920-MONOMER OR GMET_RS11100-MONOMER OR GMET_RS11060-MONOMER OR GMET_RS11200-MONOMER OR GMET_RS10380-MONOMER
CTPS1,GMET_RS06425-MONOMER_mod_mg2(1)
CTPS2,GMET_RS06425-MONOMER_mod_mg2(1)
CU2abcpp,GMET_RS13895-MONOMER
CU2tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CUabcpp,CPLX2LZ9-63
CUtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CYOO2pp,CPLX_CYOO2pp-0
CYRDAAT,GMET_RS07910-MONOMER
CYRDAS,GMET_RS02350-MONOMER
CYSLY3,GMET_RS06545-MONOMER
CYSS,GMET_RS01325-MONOMER_mod_pydx5p(1) OR GMET_RS07835-MONOMER_mod_pydx5p(2) OR GMET_RS14980-MONOMER
CYSTL,GMET_RS03505-MONOMER OR GMET_RS03510-MONOMER_mod_pydx5p(1)
CYSTRS,GMET_RS00285-MONOMER_mod_zn2(1)
CYTBCYTC,GMET_RS15495-MONOMER
CYTBD2pp,CPLX_CYTBD2pp-0
CYTBMQOR2pp,GMET_RS14705-MONOMER
CYTK1,GMET_RS04330-MONOMER_mod_mg2(1)
CYTK2,GMET_RS04330-MONOMER_mod_mg2(1)
CYTMQOR3pp,CPLX_CYTMQOR3pp-0 OR CPLX_CYTMQOR3pp-1 OR CPLX_CYTMQOR3pp-2
Cobalt2abcppI,CPLX_Cobalt2abcppI-0
DADK,GMET_RS03255-MONOMER_mod_mg2(1)
DADNC,GMET_RS05855-MONOMER OR GMET_RS09540-MONOMER
